icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label,head_neck_cancer,gi_cancer,colorectal_cancer,lung_cancer,bone_cancer,melanoma_cancer,breast_cancer,uterine_cervical_cancer,other_female_cancer,male_genital_cancer,urinary_cancer,brain_cancer,lymph_hem_cancer,other_cancer,benign_cancer,nonmelanoma_skin_cancer,uncertain_unspecified_cancer,carcinoma_in_situ_cancer
'1420',9,malignant neoplasm of parotid gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1421',9,malignant neoplasm of submandibular gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1422',9,malignant neoplasm of sublingual gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1428',9,malignant neoplasm of other major salivary glands,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1429',9,"malignant neoplasm of salivary gland, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1430',9,malignant neoplasm of upper gum,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1431',9,malignant neoplasm of lower gum,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1438',9,malignant neoplasm of other sites of gum,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1439',9,"malignant neoplasm of gum, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1440',9,malignant neoplasm of anterior portion of floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1441',9,malignant neoplasm of lateral portion of floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1448',9,malignant neoplasm of other sites of floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1449',9,"malignant neoplasm of floor of mouth, part unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1450',9,malignant neoplasm of cheek mucosa,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1451',9,malignant neoplasm of vestibule of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1452',9,malignant neoplasm of hard palate,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1453',9,malignant neoplasm of soft palate,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1454',9,malignant neoplasm of uvula,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1455',9,"malignant neoplasm of palate, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1456',9,malignant neoplasm of retromolar area,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1458',9,malignant neoplasm of other specified parts of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1459',9,"malignant neoplasm of mouth, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1460',9,malignant neoplasm of tonsil,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1461',9,malignant neoplasm of tonsillar fossa,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1462',9,malignant neoplasm of tonsillar pillars (anterior) (posterior),11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1463',9,malignant neoplasm of vallecula epiglottica,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1464',9,malignant neoplasm of anterior aspect of epiglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1465',9,malignant neoplasm of junctional region of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1466',9,malignant neoplasm of lateral wall of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1467',9,malignant neoplasm of posterior wall of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1468',9,malignant neoplasm of other specified sites of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1469',9,"malignant neoplasm of oropharynx, unspecified site",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1470',9,malignant neoplasm of superior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1471',9,malignant neoplasm of posterior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1472',9,malignant neoplasm of lateral wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1473',9,malignant neoplasm of anterior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1478',9,malignant neoplasm of other specified sites of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1479',9,"malignant neoplasm of nasopharynx, unspecified site",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1480',9,malignant neoplasm of postcricoid region of hypopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1481',9,malignant neoplasm of pyriform sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1482',9,"malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1483',9,malignant neoplasm of posterior hypopharyngeal wall,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1488',9,malignant neoplasm of other specified sites of hypopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1489',9,"malignant neoplasm of hypopharynx, unspecified site",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1490',9,"malignant neoplasm of pharynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1491',9,malignant neoplasm of waldeyer's ring,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1498',9,malignant neoplasm of other sites within the lip and oral cavity,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1499',9,malignant neoplasm of ill-defined sites within the lip and oral cavity,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1600',9,malignant neoplasm of nasal cavities,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1601',9,"malignant neoplasm of auditory tube, middle ear, and mastoid air cells",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1602',9,malignant neoplasm of maxillary sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1603',9,malignant neoplasm of ethmoidal sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1604',9,malignant neoplasm of frontal sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1605',9,malignant neoplasm of sphenoidal sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1608',9,malignant neoplasm of other accessory sinuses,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1609',9,"malignant neoplasm of accessory sinus, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1610',9,malignant neoplasm of glottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1611',9,malignant neoplasm of supraglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1612',9,malignant neoplasm of subglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1613',9,malignant neoplasm of laryngeal cartilages,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1618',9,malignant neoplasm of other specified sites of larynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1619',9,"malignant neoplasm of larynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1950',9,"malignant neoplasm of head, face, and neck",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2300',9,"carcinoma in situ of lip, oral cavity, and pharynx",11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'2310',9,carcinoma in situ of larynx,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'V1001',9,personal history of malignant neoplasm of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'V1002',9,personal history of malignant neoplasm of other and unspecified oral cavity and pharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'V1021',9,personal history of malignant neoplasm of larynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C000',10,malignant neoplasm of external upper lip,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C001',10,malignant neoplasm of external lower lip,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C002',10,"malignant neoplasm of external lip, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C003',10,"malignant neoplasm of upper lip, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C004',10,"malignant neoplasm of lower lip, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C005',10,"malignant neoplasm of lip, unspecified, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C006',10,"malignant neoplasm of commissure of lip, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C008',10,malignant neoplasm of overlapping sites of lip,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C009',10,"malignant neoplasm of lip, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C01',10,malignant neoplasm of base of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C020',10,malignant neoplasm of dorsal surface of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C021',10,malignant neoplasm of border of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C022',10,malignant neoplasm of ventral surface of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C023',10,"malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C024',10,malignant neoplasm of lingual tonsil,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C028',10,malignant neoplasm of overlapping sites of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C029',10,"malignant neoplasm of tongue, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C030',10,malignant neoplasm of upper gum,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C031',10,malignant neoplasm of lower gum,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C039',10,"malignant neoplasm of gum, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C040',10,malignant neoplasm of anterior floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C041',10,malignant neoplasm of lateral floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C048',10,malignant neoplasm of overlapping sites of floor of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C049',10,"malignant neoplasm of floor of mouth, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C050',10,malignant neoplasm of hard palate,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C051',10,malignant neoplasm of soft palate,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C052',10,malignant neoplasm of uvula,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C058',10,malignant neoplasm of overlapping sites of palate,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C059',10,"malignant neoplasm of palate, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C060',10,malignant neoplasm of cheek mucosa,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C061',10,malignant neoplasm of vestibule of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C062',10,malignant neoplasm of retromolar area,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C0680',10,malignant neoplasm of overlapping sites of unspecified parts of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C0689',10,malignant neoplasm of overlapping sites of other parts of mouth,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C069',10,"malignant neoplasm of mouth, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C07',10,malignant neoplasm of parotid gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C080',10,malignant neoplasm of submandibular gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C081',10,malignant neoplasm of sublingual gland,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C089',10,"malignant neoplasm of major salivary gland, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C090',10,malignant neoplasm of tonsillar fossa,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C091',10,malignant neoplasm of tonsillar pillar (anterior) (posterior),11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C098',10,malignant neoplasm of overlapping sites of tonsil,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C099',10,"malignant neoplasm of tonsil, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C100',10,malignant neoplasm of vallecula,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C101',10,malignant neoplasm of anterior surface of epiglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C102',10,malignant neoplasm of lateral wall of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C103',10,malignant neoplasm of posterior wall of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C104',10,malignant neoplasm of branchial cleft,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C108',10,malignant neoplasm of overlapping sites of oropharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C109',10,"malignant neoplasm of oropharynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C110',10,malignant neoplasm of superior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C111',10,malignant neoplasm of posterior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C112',10,malignant neoplasm of lateral wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C113',10,malignant neoplasm of anterior wall of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C118',10,malignant neoplasm of overlapping sites of nasopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C119',10,"malignant neoplasm of nasopharynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C12',10,malignant neoplasm of pyriform sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C130',10,malignant neoplasm of postcricoid region,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C131',10,"malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C132',10,malignant neoplasm of posterior wall of hypopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C138',10,malignant neoplasm of overlapping sites of hypopharynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C139',10,"malignant neoplasm of hypopharynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C140',10,"malignant neoplasm of pharynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C142',10,malignant neoplasm of waldeyer's ring,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C148',10,"malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C300',10,malignant neoplasm of nasal cavity,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C301',10,malignant neoplasm of middle ear,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C310',10,malignant neoplasm of maxillary sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C311',10,malignant neoplasm of ethmoidal sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C312',10,malignant neoplasm of frontal sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C313',10,malignant neoplasm of sphenoid sinus,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C318',10,malignant neoplasm of overlapping sites of accessory sinuses,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C319',10,"malignant neoplasm of accessory sinus, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C320',10,malignant neoplasm of glottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C321',10,malignant neoplasm of supraglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C322',10,malignant neoplasm of subglottis,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C323',10,malignant neoplasm of laryngeal cartilage,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C328',10,malignant neoplasm of overlapping sites of larynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C329',10,"malignant neoplasm of larynx, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'C760',10,"malignant neoplasm of head, face and neck",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'D0000',10,"carcinoma in situ of oral cavity, unspecified site",11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0001',10,carcinoma in situ of labial mucosa and vermilion border,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0002',10,carcinoma in situ of buccal mucosa,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0003',10,carcinoma in situ of gingiva and edentulous alveolar ridge,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0004',10,carcinoma in situ of soft palate,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0005',10,carcinoma in situ of hard palate,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0006',10,carcinoma in situ of floor of mouth,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0007',10,carcinoma in situ of tongue,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D0008',10,carcinoma in situ of pharynx,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'D020',10,carcinoma in situ of larynx,11,(11) cancer of head and neck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'Z8521',10,personal history of malignant neoplasm of larynx,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Z85810',10,personal history of malignant neoplasm of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Z85818',10,"personal history of malignant neoplasm of other sites of lip, oral cavity, and pharynx",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Z85819',10,"personal history of malignant neoplasm of unspecified site of lip, oral cavity, and pharynx",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
