ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'62756096964',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-.5,mg/1,sun pharmaceutical industries limited,NA,NA,NA,NA
'62756096983',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-.5,mg/1,sun pharmaceutical industries limited,NA,NA,NA,NA
'62756097064',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,sun pharmaceutical industries limited,NA,NA,NA,NA
'62756097083',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,sun pharmaceutical industries limited,NA,NA,NA,NA
'63629402802',suboxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,2-.5,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629403404',suboxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,2-aug,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629507401',buprenorphine hcl and naloxone hcl,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629727001',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,bryant ranch prepack,NA,NA,NA,NA
'63629727002',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,bryant ranch prepack,NA,NA,NA,NA
'65162041509',buprenorphine hcl and naloxone hcl,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,amneal pharmaceuticals llc,NA,NA,NA,NA
'65162041609',buprenorphine hcl and naloxone hcl,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-.5,mg/1,amneal pharmaceuticals llc,NA,NA,NA,NA
'66336001530',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'70518100700',buprenorphine hcl and naloxone hcl,buprenorphine; naloxone,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,remedyrepack inc.,NA,NA,NA,NA
'70518168400',buprenorphine hcl and naloxone hcl,buprenorphine; naloxone,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,remedyrepack inc.,NA,NA,NA,NA
