cpt_code,pcs_ccs_single,pcs_ccs_single_label
'21199',161,(161) other or therapeutic procedures on bone
'21206',161,(161) other or therapeutic procedures on bone
'21208',161,(161) other or therapeutic procedures on bone
'21209',142,(142) partial excision bone
'21210',161,(161) other or therapeutic procedures on bone
'21215',161,(161) other or therapeutic procedures on bone
'21230',164,(164) other or therapeutic procedures on musculoskeletal system
'21235',164,(164) other or therapeutic procedures on musculoskeletal system
'21240',154,(154) arthroplasty other than hip or knee
'21242',154,(154) arthroplasty other than hip or knee
'21243',154,(154) arthroplasty other than hip or knee
'21244',161,(161) other or therapeutic procedures on bone
'21245',161,(161) other or therapeutic procedures on bone
'21246',161,(161) other or therapeutic procedures on bone
'21247',161,(161) other or therapeutic procedures on bone
'21248',161,(161) other or therapeutic procedures on bone
'21249',161,(161) other or therapeutic procedures on bone
'21255',161,(161) other or therapeutic procedures on bone
'21256',161,(161) other or therapeutic procedures on bone
'21260',161,(161) other or therapeutic procedures on bone
'21261',161,(161) other or therapeutic procedures on bone
'21263',161,(161) other or therapeutic procedures on bone
'21267',161,(161) other or therapeutic procedures on bone
'21268',161,(161) other or therapeutic procedures on bone
'21270',161,(161) other or therapeutic procedures on bone
'21275',161,(161) other or therapeutic procedures on bone
'21280',21,(21) other extraocular muscle and orbit therapeutic procedures
'21282',21,(21) other extraocular muscle and orbit therapeutic procedures
'21295',142,(142) partial excision bone
'21296',142,(142) partial excision bone
'21325',144,"(144) treatment, facial fracture or dislocation"
'21330',144,"(144) treatment, facial fracture or dislocation"
'21335',144,"(144) treatment, facial fracture or dislocation"
'21336',144,"(144) treatment, facial fracture or dislocation"
'21338',144,"(144) treatment, facial fracture or dislocation"
'21339',144,"(144) treatment, facial fracture or dislocation"
'21343',144,"(144) treatment, facial fracture or dislocation"
'21344',144,"(144) treatment, facial fracture or dislocation"
'21346',144,"(144) treatment, facial fracture or dislocation"
'21347',144,"(144) treatment, facial fracture or dislocation"
'21348',144,"(144) treatment, facial fracture or dislocation"
'21356',144,"(144) treatment, facial fracture or dislocation"
'21360',144,"(144) treatment, facial fracture or dislocation"
'21365',144,"(144) treatment, facial fracture or dislocation"
'21366',144,"(144) treatment, facial fracture or dislocation"
'21385',144,"(144) treatment, facial fracture or dislocation"
'21386',144,"(144) treatment, facial fracture or dislocation"
'21387',144,"(144) treatment, facial fracture or dislocation"
'21390',144,"(144) treatment, facial fracture or dislocation"
'21395',144,"(144) treatment, facial fracture or dislocation"
'21406',144,"(144) treatment, facial fracture or dislocation"
'21407',144,"(144) treatment, facial fracture or dislocation"
'21408',144,"(144) treatment, facial fracture or dislocation"
'21422',144,"(144) treatment, facial fracture or dislocation"
'21423',144,"(144) treatment, facial fracture or dislocation"
'21432',144,"(144) treatment, facial fracture or dislocation"
'21433',144,"(144) treatment, facial fracture or dislocation"
'21435',144,"(144) treatment, facial fracture or dislocation"
'21436',144,"(144) treatment, facial fracture or dislocation"
'21445',144,"(144) treatment, facial fracture or dislocation"
'21454',144,"(144) treatment, facial fracture or dislocation"
'21461',144,"(144) treatment, facial fracture or dislocation"
'21462',144,"(144) treatment, facial fracture or dislocation"
'21465',144,"(144) treatment, facial fracture or dislocation"
'21470',144,"(144) treatment, facial fracture or dislocation"
'21490',144,"(144) treatment, facial fracture or dislocation"
'21495',144,"(144) treatment, facial fracture or dislocation"
'21501',168,"(168) incision and drainage, skin and subcutaneous tissue"
'21502',142,(142) partial excision bone
'21510',161,(161) other or therapeutic procedures on bone
'21554',160,(160) other therapeutic procedures on muscles and tendons
'21556',160,(160) other therapeutic procedures on muscles and tendons
'21557',160,(160) other therapeutic procedures on muscles and tendons
'21558',160,(160) other therapeutic procedures on muscles and tendons
'21600',142,(142) partial excision bone
'21610',142,(142) partial excision bone
'21615',142,(142) partial excision bone
'21616',142,(142) partial excision bone
'21620',142,(142) partial excision bone
'21627',142,(142) partial excision bone
'21630',142,(142) partial excision bone
'21632',142,(142) partial excision bone
'21685',164,(164) other or therapeutic procedures on musculoskeletal system
'21700',160,(160) other therapeutic procedures on muscles and tendons
'21705',142,(142) partial excision bone
'21720',160,(160) other therapeutic procedures on muscles and tendons
'21725',160,(160) other therapeutic procedures on muscles and tendons
'21740',164,(164) other or therapeutic procedures on musculoskeletal system
'21742',164,(164) other or therapeutic procedures on musculoskeletal system
'21743',160,(160) other therapeutic procedures on muscles and tendons
'21750',161,(161) other or therapeutic procedures on bone
'21805',148,(148) other fracture and dislocation procedure
'21811',148,(148) other fracture and dislocation procedure
'21812',148,(148) other fracture and dislocation procedure
'21813',148,(148) other fracture and dislocation procedure
'21825',148,(148) other fracture and dislocation procedure
'21932',160,(160) other therapeutic procedures on muscles and tendons
'21933',160,(160) other therapeutic procedures on muscles and tendons
'21935',160,(160) other therapeutic procedures on muscles and tendons
'21936',160,(160) other therapeutic procedures on muscles and tendons
'22010',168,"(168) incision and drainage, skin and subcutaneous tissue"
'22015',168,"(168) incision and drainage, skin and subcutaneous tissue"
'22100',142,(142) partial excision bone
'22101',142,(142) partial excision bone
'22102',142,(142) partial excision bone
'22110',142,(142) partial excision bone
'22112',142,(142) partial excision bone
'22114',142,(142) partial excision bone
'22206',142,(142) partial excision bone
'22207',142,(142) partial excision bone
'22210',142,(142) partial excision bone
'22212',142,(142) partial excision bone
'22214',142,(142) partial excision bone
'22220',142,(142) partial excision bone
'22222',142,(142) partial excision bone
'22224',142,(142) partial excision bone
'22318',148,(148) other fracture and dislocation procedure
'22319',148,(148) other fracture and dislocation procedure
'22325',148,(148) other fracture and dislocation procedure
'22326',148,(148) other fracture and dislocation procedure
'22327',148,(148) other fracture and dislocation procedure
'22532',158,(158) spinal fusion
'22533',158,(158) spinal fusion
'22548',158,(158) spinal fusion
'22551',158,(158) spinal fusion
'22554',158,(158) spinal fusion
'22556',158,(158) spinal fusion
'22558',158,(158) spinal fusion
'22586',158,(158) spinal fusion
'22590',158,(158) spinal fusion
'22595',158,(158) spinal fusion
'22600',158,(158) spinal fusion
'22610',158,(158) spinal fusion
'22612',158,(158) spinal fusion
'22630',158,(158) spinal fusion
'22633',158,(158) spinal fusion
'22800',158,(158) spinal fusion
'22802',158,(158) spinal fusion
'22804',158,(158) spinal fusion
'22808',158,(158) spinal fusion
'22810',158,(158) spinal fusion
'22812',158,(158) spinal fusion
'22818',142,(142) partial excision bone
'22819',142,(142) partial excision bone
'22830',161,(161) other or therapeutic procedures on bone
'22849',158,(158) spinal fusion
'22850',158,(158) spinal fusion
'22852',158,(158) spinal fusion
'22855',158,(158) spinal fusion
'22856',3,"(3) laminectomy, excision intervertebral disc"
'22857',158,(158) spinal fusion
'22861',3,"(3) laminectomy, excision intervertebral disc"
'22862',158,(158) spinal fusion
'22864',3,"(3) laminectomy, excision intervertebral disc"
'22865',158,(158) spinal fusion
'22867',164,(164) other or therapeutic procedures on musculoskeletal system
'22869',164,(164) other or therapeutic procedures on musculoskeletal system
'22900',160,(160) other therapeutic procedures on muscles and tendons
'22901',160,(160) other therapeutic procedures on muscles and tendons
'22904',160,(160) other therapeutic procedures on muscles and tendons
'22905',160,(160) other therapeutic procedures on muscles and tendons
'23000',160,(160) other therapeutic procedures on muscles and tendons
'23020',160,(160) other therapeutic procedures on muscles and tendons
'23035',161,(161) other or therapeutic procedures on bone
'23040',162,(162) other or therapeutic procedures on joints
'23044',162,(162) other or therapeutic procedures on joints
'23073',160,(160) other therapeutic procedures on muscles and tendons
'23076',164,(164) other or therapeutic procedures on musculoskeletal system
'23077',164,(164) other or therapeutic procedures on musculoskeletal system
'23078',160,(160) other therapeutic procedures on muscles and tendons
'23101',159,(159) other diagnostic procedures on musculoskeletal system
'23105',162,(162) other or therapeutic procedures on joints
'23106',162,(162) other or therapeutic procedures on joints
'23107',159,(159) other diagnostic procedures on musculoskeletal system
'23120',142,(142) partial excision bone
'23125',142,(142) partial excision bone
'23130',142,(142) partial excision bone
'23140',142,(142) partial excision bone
'23145',142,(142) partial excision bone
'23146',142,(142) partial excision bone
'23150',142,(142) partial excision bone
'23155',142,(142) partial excision bone
'23156',142,(142) partial excision bone
'23170',161,(161) other or therapeutic procedures on bone
'23172',161,(161) other or therapeutic procedures on bone
'23174',161,(161) other or therapeutic procedures on bone
'23180',142,(142) partial excision bone
'23182',142,(142) partial excision bone
'23184',142,(142) partial excision bone
'23190',142,(142) partial excision bone
'23195',142,(142) partial excision bone
'23200',142,(142) partial excision bone
'23210',142,(142) partial excision bone
'23220',142,(142) partial excision bone
'23221',142,(142) partial excision bone
'23222',142,(142) partial excision bone
'23331',162,(162) other or therapeutic procedures on joints
'23332',162,(162) other or therapeutic procedures on joints
'23333',164,(164) other or therapeutic procedures on musculoskeletal system
'23334',162,(162) other or therapeutic procedures on joints
'23335',162,(162) other or therapeutic procedures on joints
'23395',160,(160) other therapeutic procedures on muscles and tendons
'23397',160,(160) other therapeutic procedures on muscles and tendons
'23400',161,(161) other or therapeutic procedures on bone
'23405',160,(160) other therapeutic procedures on muscles and tendons
'23406',160,(160) other therapeutic procedures on muscles and tendons
'23410',160,(160) other therapeutic procedures on muscles and tendons
'23412',160,(160) other therapeutic procedures on muscles and tendons
'23415',150,"(150) division of joint capsule, ligament or cartilage"
'23420',154,(154) arthroplasty other than hip or knee
'23430',160,(160) other therapeutic procedures on muscles and tendons
'23440',160,(160) other therapeutic procedures on muscles and tendons
'23450',162,(162) other or therapeutic procedures on joints
'23455',162,(162) other or therapeutic procedures on joints
'23460',162,(162) other or therapeutic procedures on joints
'23462',162,(162) other or therapeutic procedures on joints
'23465',162,(162) other or therapeutic procedures on joints
'23466',162,(162) other or therapeutic procedures on joints
'23470',154,(154) arthroplasty other than hip or knee
'23472',154,(154) arthroplasty other than hip or knee
'23473',154,(154) arthroplasty other than hip or knee
'23474',154,(154) arthroplasty other than hip or knee
'23480',161,(161) other or therapeutic procedures on bone
'23485',161,(161) other or therapeutic procedures on bone
'23490',161,(161) other or therapeutic procedures on bone
'23491',161,(161) other or therapeutic procedures on bone
'23515',148,(148) other fracture and dislocation procedure
'23530',148,(148) other fracture and dislocation procedure
'23532',148,(148) other fracture and dislocation procedure
'23550',148,(148) other fracture and dislocation procedure
'23552',148,(148) other fracture and dislocation procedure
'23585',148,(148) other fracture and dislocation procedure
'23615',148,(148) other fracture and dislocation procedure
'23616',148,(148) other fracture and dislocation procedure
'23630',148,(148) other fracture and dislocation procedure
'23660',148,(148) other fracture and dislocation procedure
'23670',148,(148) other fracture and dislocation procedure
'23680',148,(148) other fracture and dislocation procedure
'23800',162,(162) other or therapeutic procedures on joints
'23802',162,(162) other or therapeutic procedures on joints
'23900',164,(164) other or therapeutic procedures on musculoskeletal system
'23920',164,(164) other or therapeutic procedures on musculoskeletal system
'23921',164,(164) other or therapeutic procedures on musculoskeletal system
'23935',161,(161) other or therapeutic procedures on bone
'24000',162,(162) other or therapeutic procedures on joints
'24006',150,"(150) division of joint capsule, ligament or cartilage"
'24073',160,(160) other therapeutic procedures on muscles and tendons
'24076',160,(160) other therapeutic procedures on muscles and tendons
'24077',160,(160) other therapeutic procedures on muscles and tendons
'24079',160,(160) other therapeutic procedures on muscles and tendons
'24101',159,(159) other diagnostic procedures on musculoskeletal system
'24102',150,"(150) division of joint capsule, ligament or cartilage"
'24105',160,(160) other therapeutic procedures on muscles and tendons
'24110',142,(142) partial excision bone
'24115',142,(142) partial excision bone
'24116',142,(142) partial excision bone
'24120',142,(142) partial excision bone
'24125',142,(142) partial excision bone
'24126',142,(142) partial excision bone
'24130',142,(142) partial excision bone
'24134',161,(161) other or therapeutic procedures on bone
'24136',161,(161) other or therapeutic procedures on bone
'24138',161,(161) other or therapeutic procedures on bone
'24140',142,(142) partial excision bone
'24145',142,(142) partial excision bone
'24147',142,(142) partial excision bone
'24149',142,(142) partial excision bone
'24150',142,(142) partial excision bone
'24151',142,(142) partial excision bone
'24152',142,(142) partial excision bone
'24153',142,(142) partial excision bone
'24155',162,(162) other or therapeutic procedures on joints
'24160',148,(148) other fracture and dislocation procedure
'24164',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24301',160,(160) other therapeutic procedures on muscles and tendons
'24305',160,(160) other therapeutic procedures on muscles and tendons
'24310',160,(160) other therapeutic procedures on muscles and tendons
'24320',160,(160) other therapeutic procedures on muscles and tendons
'24330',160,(160) other therapeutic procedures on muscles and tendons
'24331',160,(160) other therapeutic procedures on muscles and tendons
'24332',160,(160) other therapeutic procedures on muscles and tendons
'24340',160,(160) other therapeutic procedures on muscles and tendons
'24341',160,(160) other therapeutic procedures on muscles and tendons
'24342',160,(160) other therapeutic procedures on muscles and tendons
'24343',162,(162) other or therapeutic procedures on joints
'24344',162,(162) other or therapeutic procedures on joints
'24345',162,(162) other or therapeutic procedures on joints
'24346',162,(162) other or therapeutic procedures on joints
'24350',162,(162) other or therapeutic procedures on joints
'24351',162,(162) other or therapeutic procedures on joints
'24352',162,(162) other or therapeutic procedures on joints
'24354',160,(160) other therapeutic procedures on muscles and tendons
'24356',142,(142) partial excision bone
'24358',162,(162) other or therapeutic procedures on joints
'24359',162,(162) other or therapeutic procedures on joints
'24360',154,(154) arthroplasty other than hip or knee
'24361',154,(154) arthroplasty other than hip or knee
'24362',154,(154) arthroplasty other than hip or knee
'24363',154,(154) arthroplasty other than hip or knee
'24365',154,(154) arthroplasty other than hip or knee
'24366',154,(154) arthroplasty other than hip or knee
'24370',154,(154) arthroplasty other than hip or knee
'24371',154,(154) arthroplasty other than hip or knee
'24400',161,(161) other or therapeutic procedures on bone
'24410',161,(161) other or therapeutic procedures on bone
'24420',161,(161) other or therapeutic procedures on bone
'24430',148,(148) other fracture and dislocation procedure
'24435',161,(161) other or therapeutic procedures on bone
'24470',161,(161) other or therapeutic procedures on bone
'24495',160,(160) other therapeutic procedures on muscles and tendons
'24498',148,(148) other fracture and dislocation procedure
'24515',148,(148) other fracture and dislocation procedure
'24516',148,(148) other fracture and dislocation procedure
'24545',148,(148) other fracture and dislocation procedure
'24546',148,(148) other fracture and dislocation procedure
'24575',148,(148) other fracture and dislocation procedure
'24579',148,(148) other fracture and dislocation procedure
'24586',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24587',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24615',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24635',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24665',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24666',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24685',145,"(145) treatment, fracture or dislocation of radius and ulna"
'24800',162,(162) other or therapeutic procedures on joints
'24802',162,(162) other or therapeutic procedures on joints
'24900',164,(164) other or therapeutic procedures on musculoskeletal system
'24920',164,(164) other or therapeutic procedures on musculoskeletal system
'24925',164,(164) other or therapeutic procedures on musculoskeletal system
'24930',164,(164) other or therapeutic procedures on musculoskeletal system
'24931',164,(164) other or therapeutic procedures on musculoskeletal system
'24935',161,(161) other or therapeutic procedures on bone
'24940',164,(164) other or therapeutic procedures on musculoskeletal system
'25000',160,(160) other therapeutic procedures on muscles and tendons
'25001',160,(160) other therapeutic procedures on muscles and tendons
'25020',160,(160) other therapeutic procedures on muscles and tendons
'25023',160,(160) other therapeutic procedures on muscles and tendons
'25024',160,(160) other therapeutic procedures on muscles and tendons
'25025',160,(160) other therapeutic procedures on muscles and tendons
'25035',161,(161) other or therapeutic procedures on bone
'25040',159,(159) other diagnostic procedures on musculoskeletal system
'25073',160,(160) other therapeutic procedures on muscles and tendons
'25076',160,(160) other therapeutic procedures on muscles and tendons
'25077',160,(160) other therapeutic procedures on muscles and tendons
'25078',160,(160) other therapeutic procedures on muscles and tendons
'25085',150,"(150) division of joint capsule, ligament or cartilage"
'25101',159,(159) other diagnostic procedures on musculoskeletal system
'25105',162,(162) other or therapeutic procedures on joints
'25107',162,(162) other or therapeutic procedures on joints
'25109',160,(160) other therapeutic procedures on muscles and tendons
'25110',160,(160) other therapeutic procedures on muscles and tendons
'25111',160,(160) other therapeutic procedures on muscles and tendons
'25112',160,(160) other therapeutic procedures on muscles and tendons
'25115',160,(160) other therapeutic procedures on muscles and tendons
'25116',160,(160) other therapeutic procedures on muscles and tendons
'25118',162,(162) other or therapeutic procedures on joints
'25119',142,(142) partial excision bone
'25120',142,(142) partial excision bone
'25125',142,(142) partial excision bone
'25126',142,(142) partial excision bone
'25130',142,(142) partial excision bone
'25135',142,(142) partial excision bone
'25136',142,(142) partial excision bone
'25145',161,(161) other or therapeutic procedures on bone
'25150',142,(142) partial excision bone
'25151',142,(142) partial excision bone
'25170',142,(142) partial excision bone
'25210',142,(142) partial excision bone
'25215',142,(142) partial excision bone
'25230',142,(142) partial excision bone
'25240',142,(142) partial excision bone
