'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY ASSIGNMENT'
'0054',IMPL/REPL DEFIBRIL GENERATOR (Begin 2002),4
'0055',INSERT DRUGELUTING NONCRNRY (Begin 2002),2
'0056',INS/REP IMPL SENSOR LEAD (Begin 2006),4
'0057',IMP/REP SUBCUE CARD DEV  (Begin 2006),4
'0058',INS INTRA-ANSM PRES MNTR (begin 2008),1
'0059',INTRAVASC MSMNT COR ART (begin 2008),1
'0060',INS D-E STNT SUP FEM ART (Begin 2010),2
'0061',PERC ANGIO PRECEREB VESS (Begin 2004),4
'0062',PERC ANGIO INTRACRAN VES (Begin 2004),4
'0063',PERC INS CAROTID STENT (Begin 2004),2
'0064',PERC INS PRECEREB STENT (Begin 2004),2
'0065',PERC INS INTRACRAN STENT (Begin 2004),2
'0066',PTCA OR CORONARY ATHER (Begin 2005),4
'0067',INTRAVAS MSMNT THORC ART (begin 2008),1
'0068',INTRAVAS MSMT PERIPH ART (begin 2008),1
'0069',INTRAVS MSMT VES NEC/NOS (begin 2008),1
'0070',REV HIP REPLACETAB/FEM (Begin 2005),4
'0071',REV HIP REPLACETAB COMP (Begin 2005),4
'0072',REV HIP REPLFEM COMP (Begin 2005),4
'0073',REV HIP REPLLINER/HEAD (Begin 2005),4
'0074',HIP REPL SURFMETAL/POLY (Begin 2005),2
'0075',HIP REP SURFMETAL/METAL (Begin 2005),2
'0076',HIP REP SURFCERMC/CERMC (Begin 2005),2
'0077',HIP REPL SURF-CERMC/POLY (Begin 2006),2
'0080',REV KNEE REPLACEMTTOTAL (Begin 2005),4
'0081',REV KNEE REPLTIBIA COMP (Begin 2005),4
'0082',REV KNEE REPLFEMUR COMP (Begin 2005),4
'0083',REV KNEE REPLACEPATELLA (Begin 2005),4
'0084',REV KNEE REPLTIBIA LIN (Begin 2005),4
'0085',RESRF HIPTOTAL-ACET/FEM (Begin 2006),4
'0086',RESRF HIPPART-FEM HEAD  (Begin 2006),4
'0087',RESRF HIPPART-ACETABLUM (Begin 2006),4
'0091',TRNSPLNT LIVE REL DONOR (Begin 2004),2
'0092',TRNSPLNT LIVE NONREL DONOR (Begin 2004),2
'0093',TRANSPLANT CADAVER DONOR (Begin 2004),2
'0094',INTRA-OP NEUROPHYS MONTR (Begin 2007),1
'0095',INJECTION OR INFUSION OF GLUCARPIDASE (Begin 2012),2
'0096',INFUSION OF 4-FACTOR PROTHROMBIN COMPLEX CONCENTRATE        ,2
'0101',CISTERNAL PUNCTURE,2
'0102',VENTRICL SHUNT TUBE PUNC,2
'0109',CRANIAL PUNCTURE NEC,2
'0110',INTRACRAN PRESSURE MONTR (Begin 2007),1
'0111',CLOS CEREB MENINGES BX,1
'0112',OPEN CEREB MENINGES BX,3
'0113',CLOSED BRAIN BIOPSY,1
'0114',OPEN BRAIN BIOPSY,3
'0115',SKULL BIOPSY,3
'0116',INTRACRANIAL 02 MONITOR (Begin 2007),1
'0117',BRAIN TEMP MONITORING (Begin 2007),1
'0118',OTHER BRAIN DX PROCEDURE,3
'0119',OTHER SKULL DX PROCEDURE,3
'0120',IMP/REPL BRAIN PULSE GEN (Begin 2010),4
'0121',CRANIAL SINUS I & D,4
'0122',REMOV INTRACRAN STIMULAT,4
'0123',REOPEN CRANIOTOMY SITE,4
'0124',OTHER CRANIOTOMY,4
'0125',OTHER CRANIECTOMY,4
'0126',INS CATHCRANIAL CAVITY (Begin 2005),2
'0127',REM CATHCRANIAL CAVITY (Begin 2005),2
'0128',INTRACEREB CTH-BURR HOLE (Begin 2006),4
'0129',REM BRAIN PULSE GENERATR (Begin 2010),4
'0131',INCISE CEREBRAL MENINGES,4
'0132',LOBOTOMY & TRACTOTOMY,4
'0139',OTHER BRAIN INCISION,4
'0141',THALAMUS OPERATIONS,4
'0142',GLOBUS PALLIDUS OPS,4
'0151',EX CEREB MENINGEAL LES,4
'0152',HEMISPHERECTOMY,4
'0153',BRAIN LOBECTOMY,4
'0159',OTHER BRAIN EXCISION,4
'016 ',EXCISE SKULL LESION,4
'0201',LINEAR CRANIECTOMY,4
'0202',ELEVATE SKULL FX FRAGMNT,4
'0203',SKULL FLAP FORMATION,4
'0204',BONE GRAFT TO SKULL,4
'0205',SKULL PLATE INSERTION,4
'0206',CRANIAL OSTEOPLASTY NEC,4
'0207',SKULL PLATE REMOVAL,4
'0211',SIMPLE SUTURE OF DURA,4
'0212',BRAIN MENINGE REPAIR NEC,4
'0213',MENINGE VESSEL LIGATION,4
'0214',CHOROID PLEXECTOMY,4
'022 ',VENTRICULOSTOMY (end 2010),4
'0221',INSERT/REPLACE EVD (Begin 2011),4
'0222',INTRCRAN VENT SHUNT/ANAS (Begin 2011),4
'0231',VENTRICL SHUNTHEAD/NECK,4
'0232',VENTRI SHUNTCIRCULA SYS,4
'0233',VENTRICL SHUNTTHORAX,4
'0234',VENTRICL SHUNTABDOMEN,4
'0235',VENTRI SHUNTUNINARY SYS,4
'0239',OTHER VENTRICULAR SHUNT,4
'0241',IRRIGATE VENTRICLE SHUNT,2
'0242',REPLACE VENTRICLE SHUNT,4
'0243',REMOVE VENTRICLE SHUNT,4
'0291',LYSIS CORTICAL ADHESION,4
'0292',BRAIN REPAIR,4
'0293',IMPLANT BRAIN STIMULATOR,4
'0294',INSERT/REPLAC SKULL TONG,4
'0295',REMOVE SKULL TONGS,2
'0296',INSERT SPHENOIDAL ELECTD (Begin 1992),2
'0299',SKULL & BRAIN OP NEC,4
'0301',REMOVAL FB SPINAL CANAL,4
'0302',REOPEN LAMINECTOMY SITE,4
'0309',SPINAL CANAL EXPLOR NEC,4
'031 ',INTRASPIN NERVE ROOT DIV,4
'0321',PERCUTANEOUS CHORDOTOMY,4
'0329',OTHER CHORDOTOMY,4
'0331',SPINAL TAP,1
'0332',SPINAL CORD/MENINGES BX,3
'0339',OTHER SPINAL DX PROC,3
'034 ',EXCIS SPINAL CORD LESION,4
'0351',SPINE MENINGOCELE REPAIR,4
'0352',MYELOMENINGOCEL REPAIR,4
'0353',VERTEBRAL FX REPAIR,4
'0359',SPINAL STRUCT REPAIR NEC,4
'036 ',SPINAL CORD ADHESIOLYSIS,4
'0371',SUBARACHPERITON SHUNT,4
'0372',SUBARACHURETERAL SHUNT,4
'0379',OTH SPINAL THECAL SHUNT,4
'038 ',DESTR INJECTSPINE CANAL,2
'0390',INSERT SPINAL CANAL CATH (Begin 1987),2
'0391',ANESTH INJECTSPIN CANAL,2
'0392',SPINAL CANAL INJECT NEC,2
'0393',INSERT SPINAL STIMULATOR,4
'0394',REMOVE SPINAL STIMULATOR,4
'0395',SPINAL PATCH,2
'0396',PERCUTAN FACET DENERVAT,2
'0397',REVISE SPINE THECA SHUNT,4
'0398',REMOVE SPINE THECA SHUNT,4
'0399',SPINE CANAL STRUC OP NEC,4
'0401',ACOUSTIC NEUROTOMY,4
'0402',TRIGEMINAL NERV DIVISION,4
'0403',PERIPH NERVE DIV NEC,4
'0404',PERIPH NERVE INCIS NEC,4
'0405',GASSERIAN GANGLIONECTOMY,4
'0406',PERIPH GANGLIONECT NEC,4
'0407',PERIPH NERV EXCISION NEC,4
'0411',CLOS PERIPH NERVE BIOPSY,1
'0412',OPEN PERIPH NERVE BIOPSY,3
'0419',PERIPH NERVE DX PROC NEC,3
'042 ',PERIPH NERVE DESTRUCTION,2
'043 ',PERIPHERAL NERVE SUTURE,4
'0441',DECOMPRESS TRIGEM ROOT,4
'0442',CRAN NERV ROOT DECOM NEC,4
'0443',CARPAL TUNNEL RELEASE,4
'0444',TARSAL TUNNEL RELEASE,4
'0449',PER NERVE ADHESIOLYS NEC,4
'045 ',PERIPHERAL NERVE GRAFT,4
'046 ',PERIPH NERVE TRANSPOSIT,4
'0471',HYPOGLOSSFACIAL ANASTOM,4
'0472',ACCESSORYFACIAL ANASTOM,4
'0473',ACCESSHYPOGLOSS ANASTOM,4
'0474',PERIPH NERV ANASTOM NEC,4
'0475',POSTOP REVIS PER NERV OP,4
'0476',LATE REPAIR PER NERV INJ,4
'0479',OTHER NEUROPLASTY,4
'0480',PERIPH NERVE INJECT NOS,2
'0481',ANESTH INJEC PERIPH NERV,2
'0489',PERIPH NERVE INJECT NEC,2
'0491',NEURECTASIS,4
'0492',IMPLANT PERIPH STIMULAT,4
'0493',REMOVE PERIPH STIMULATOR,4
'0499',PERIPHERAL NERVE OPS NEC,4
'050 ',SYMPATH NERVE DIVISION,4
'0511',SYMPATHETIC NERVE BIOPSY,3
'0519',SYMPATH NRV DX PROC NEC,3
'0521',SPHENOPALATIN GANGLIONEC,4
'0522',CERVICAL SYMPATHECTOMY,4
'0523',LUMBAR SYMPATHECTOMY,4
'0524',PRESACRAL SYMPATHECTOMY,4
'0525',PERIART SYMPATHECT (Begin 1995),4
'0529',OTHER SYMPATHECTOMY,4
'0531',ANESTH INJECT SYMP NERVE,2
'0532',NEUROLYT INJECSYMP NRV,2
'0539',SYMPATH NERVE INJECT NEC,2
'0581',SYMPATHETIC NERVE REPAIR,4
'0589',SYMPATHETIC NERVE OP NEC,4
'059 ',OTHER NERVOUS SYSTEM OPS,4
'0601',THYROID FIELD ASPIRATION,2
'0602',REOPEN THYROID FIELD WND,4
'0609',INCIS THYROID FIELD NEC,4
'0611',CLOSED THYROID GLAND BX,1
'0612',OPEN THYROID GLAND BX,3
'0613',PARATHYROID BIOPSY,3
'0619',THYR/PARATHY DX PROC NEC,3
'062 ',UNILAT THYROID LOBECTOMY,4
'0631',EXCISION THYROID LESION,4
'0639',PART THYROIDECTOMY NEC,4
'064 ',COMPLETE THYROIDECTOMY,4
'0650',SUBSTERN THYROIDECT NOS,4
'0651',PART SUBSTERN THYROIDECT,4
'0652',TOT SUBSTERN THYROIDECT,4
'066 ',LINGUAL THYROID EXCISION,4
'067 ',THYROGLOSS DUCT EXCISION,4
'0681',TOTAL PARATHYROIDECTOMY,4
'0689',OTHER PARATHYROIDECTOMY,4
'0691',THYROID ISTHMUS DIVISION,4
'0692',THYROID VESSEL LIGATION,4
'0693',THYROID SUTURE,4
'0694',THYROID REIMPLANTATION,4
'0695',PARATHYROID REIMPLANT,4
'0698',OTHER THYROID OPERATIONS,4
'0699',OTHER PARATHYROID OPS,4
'0700',ADRENAL EXPLORATION NOS,4
'0701',UNILAT ADRENAL EXPLORAT,4
'0702',BILAT ADRENAL EXPLORAT,4
'0711',CLOSED ADRENAL GLAND BX,1
'0712',OPEN ADRENAL GLAND BX,3
'0713',TRANSFRONT PITUITARY BX,3
'0714',TRANSPHEN PITUITARY BX,3
'0715',PITUITARY BIOPSY NOS,3
'0716',THYMUS BIOPSY,3
'0717',PINEAL BIOPSY,3
'0719',ENDOCRINE DX PROC NEC,3
'0721',ADRENAL LESION EXCISION,4
'0722',UNILATERAL ADRENALECTOMY,4
'0729',PART ADRENALECTOMY NEC,4
'073 ',BILATERAL ADRENALECTOMY,4
'0741',ADRENAL INCISION,4
'0742',ADRENAL NERVE DIVISION,4
'0743',ADRENAL VESSEL LIGATION,4
'0744',ADRENAL REPAIR,4
'0745',ADRENAL REIMPLANTATION,4
'0749',ADRENAL OPERATION NEC,4
'0751',PINEAL FIELD EXPLORATION,4
'0752',PINEAL GLAND INCISION,4
'0753',PARTIAL PINEALECTOMY,4
'0754',TOTAL PINEALECTOMY,4
'0759',PINEAL OPERATION NEC,4
'0761',EXC PITUIT LESTRANSFRON,4
'0762',EXC PITUIT LESTRANSPHEN,4
'0763',PART EXCIS PITUITARY NOS,4
'0764',TOT EXC PITUITTRANSFRON,4
'0765',TOT EXC PITUITTRANSPHEN,4
'0768',TOTAL EXC PITUITARY NEC,4
'0769',TOTAL EXC PITUITARY NOS,4
'0771',PITUITARY FOSSA EXPLORAT,4
'0772',PITUITARY GLAND INCISION,4
'0779',PITUITARY OPERATION NEC,4
'0780',THYMECTOMY NOS,4
'0781',PART EXCISION OF THYMUS,4
'0782',TOTAL EXCISION OF THYMUS,4
'0783',THORAC PART EXISN THYMUS (Begin 2007),4
'0784',THORAC TOTAL EXC THYMUS (Begin 2007),4
'0791',THYMUS FIELD EXPLORATION,4
'0792',INCISION OF THYMUS,4
'0793',REPAIR OF THYMUS,4
'0794',THYMUS TRANSPLANTATION,4
'0795',THORAC INCISION THYMUS (Begin 2007),4
'0798',OTH THORAC OP THYMUS NOS (Begin 2007),4
'0799',THYMUS OPERATION NEC,4
'0801',INCISION OF LID MARGIN,2
'0802',BLEPHARORRHAPHY SEVERING,2
'0809',OTHER EYELID INCISION,2
'0811',EYELID BIOPSY,3
'0819',EYELID DX PROCEDURE NEC,1
'0820',REMOVE EYELID LESION NOS,4
'0821',CHALAZION EXCISION,4
'0822',EXCISE MINOR LES LID NEC,4
'0823',EXC MAJ LES LID PRTTHIC,4
'0824',EXC MAJ LES LID FULTHIC,4
'0825',DESTRUCTION LID LESION,4
'0831',PTOSIS REPFRONT MUS SUT,4
'0832',PTOSIS REPFRON MUS SLNG,4
'0833',PTOSIS REPLEVAT MUS ADV,4
'0834',PTOSIS REPLEVAT MUS NEC,4
'0835',PTOS REPTARSAL TECHNIQ,4
'0836',BLEPHAROPTOS REPAIR NEC,4
'0837',REDUC OVERCORRECT PTOSIS,4
'0838',CORRECT LID RETRACTION,4
'0841',THERMOCAUT/ENTROPION REP,4
'0842',SUTURE ENTROPION REPAIR,4
'0843',WEDG RESEC ENTROPION REP,4
'0844',LID RECONS ENTROPION REP,4
'0849',ENTROPION/ECTROP REP NEC,4
'0851',CANTHOTOMY,4
'0852',BLEPHARORRHAPHY,4
'0859',ADJUST LID POSITION NEC,4
'0861',LID RECONST W SKIN GRAFT,4
'0862',LID RECONST W MUC GRAFT,4
'0863',LID RECONST W HAIR GRAFT,4
'0864',LID RECONTARSOCONJ FLAP,4
'0869',LID RECONSTR W GRAFT NEC,4
'0870',LID RECONSTRUCTION NOS,4
'0871',LID MARG RECONPART THIC,4
'0872',LID RECONSPART THIC NEC,4
'0873',LID MARG RECONS FUL THIC,4
'0874',LID RECONSTFUL THIC NEC,4
'0881',LINEAR REP LID LACER,2
'0882',LID MARG LAC RXPART TH,2
'0883',LID LACER RXPRT TH NEC,2
'0884',LID MARG LAC RXFUL THIC,2
'0885',LID LAC RXFUL THIC NEC,2
'0886',LOWER LID RHYTIDECTOMY,2
'0887',UPPER LID RHYTIDECTOMY,2
'0889',EYELID REPAIR NEC,2
'0891',ELECTROSURG LID EPILAT,4
'0892',CRYOSURG LID EPILATION,4
'0893',EYELID EPILATION NEC,4
'0899',EYELID OPERATION NEC,4
'090 ',LACRIMAL GLAND INCISION,4
'0911',LACRIMAL GLAND BIOPSY,3
'0912',LACRIMAL SAC BIOPSY,3
'0919',LACRIMAL SYS DX PROC NEC,3
'0920',EXC LACRIMAL GLAND NOS,4
'0921',EXCIS LES LACRIMAL GLAND,4
'0922',PART DACRYOADENECT NEC,4
'0923',TOTAL DACRYOADENECTOMY,4
'093 ',OTHER LACRIMAL GLAND OPS,4
'0941',LACRIMAL PUNCTUM PROBE,4
'0942',LAC CANALICULI PROBE,4
'0943',NASOLACRIMAL DUCT PROBE,4
'0944',NASOLAC DUCT INTUBAT,4
'0949',LAC PASSAGE MANIP NEC,4
'0951',LAC PUNCTUM INCISION,4
'0952',LAC CANALICULI INCISION,4
'0953',LACRIMAL SAC INCISION,4
'0959',LACRIM PASSAGE INCIS NEC,4
'096 ',LACRIM SAC/PASSAGE EXCIS,4
'0971',CORRECT EVERTED PUNCTUM,4
'0972',PUNCTUM REPAIR NEC,4
'0973',CANALICULUS REPAIR,4
'0981',DACRYOCYSTORHINOSTOMY,4
'0982',CONJUNCTIVOCYSTORHINOST,4
'0983',CONJUNCTIVORHINOS W TUBE,4
'0991',LAC PUNCTUM OBLITERATION,4
'0999',LACRIMAL SYSTEM OP NEC,4
'100 ',INCISE/REMOV CONJUNCT FB,4
'101 ',CONJUNCTIVA INCISION NEC,4
'1021',CONJUNCTIVAL BIOPSY,3
'1029',CONJUNCTIVA DX PROC NEC,3
'1031',EXCISE CONJUNCTIV LESION,4
'1032',DESTRUCT CONJUNC LES NEC,4
'1033',OTH CONJUNC DESTRUC PROC,4
'1041',SYMBLEPH REP W FREE GRFT,4
'1042',GRAFT CONJUNC CULDESAC,4
'1043',CONJUN CULDESAC RX NEC,4
'1044',CONJUNC FREE GRAFT NEC,4
'1049',CONJUNCTIVOPLASTY NEC,4
'105 ',CONJUNC/LID ADHESIOLYSIS,4
'106 ',REPAIR CONJUNCT LACERAT,4
'1091',SUBCONJUNCTIVAL INJECT,4
'1099',CONJUNCTIVAL OP NEC,4
'110 ',MAGNET REMOVAL CORNEA FB,4
'111 ',CORNEAL INCISION,4
'1121',CORNEAL SCRAPE FOR SMEAR,3
'1122',CORNEAL BIOPSY,3
'1129',CORNEAL DX PROC NEC,3
'1131',PTERYGIUM TRANSPOSITION,4
'1132',PTERYG EXC W CORNEA GRFT,4
'1139',PTERYGIUM EXCISION NEC,4
'1141',MECH REMOV CORNEA EPITH,4
'1142',THERMOCAUT CORNEA LESION,4
'1143',CRYOTHERAP CORNEA LESION,4
'1149',DESTRUCT CORNEA LES NEC,4
'1151',SUTURE CORNEA LACERATION,4
'1152',REP CORNEA POSTOP DEHISC,4
'1153',RX CORNEA LAC W CONJ FLP,4
'1159',CORNEAL REPAIR NEC,4
'1160',CORNEAL TRANSPLANT NOS,4
'1161',LAM KERATPLAST W AUTGRFT,4
'1162',LAMELLAR KERATOPLAST NEC,4
'1163',PERF KERATOPL W AUTOGRFT,4
'1164',PERFORAT KERATOPLAST NEC,4
'1169',CORNEAL TRANSPLANT NEC,4
'1171',KERATOMELEUSIS,4
'1172',KERATOPHAKIA,4
'1173',KERATOPROSTHESIS,4
'1174',THERMOKERATOPLASTY,4
'1175',RADIAL KERATOTOMY (Begin 1989),4
'1176',EPIKERATOPHAKIA (Begin 1989),4
'1179',CORNEA RECONSTRUCT NEC,4
'1191',CORNEAL TATTOOING,4
'1192',REMOVE CORNEAL IMPLANT,4
'1199',CORNEAL OPERATION NEC,4
'1200',REMOV ANT SEGMNT FB NOS,4
'1201',MAGNET REMOV ANT SEG FB,4
'1202',NONMAG REMOV ANT SEG FB,4
'1211',IRIDOTOMY W TRANSFIXION,4
'1212',IRIDOTOMY NEC,4
'1213',PROLAPSED IRIS EXCISION,4
'1214',IRIDECTOMY NEC,4
'1221',DX ASPIRATANT CHAMBER,3
'1222',IRIS BIOPSY,3
'1229',ANT SEGMENT DX PROC NEC,3
'1231',GONIOSYNECHIAE LYSIS,4
'1232',ANT SYNECHIA LYSIS NEC,4
'1233',POST SYNECHIAE LYSIS,4
'1234',CORNEOVITREAL ADHESIOLYS,4
'1235',COREOPLASTY,4
'1239',IRIDOPLASTY NEC,4
'1240',REMOV ANT SEGMNT LES NOS,4
'1241',NONEXC DESTRUC IRIS LES,4
'1242',EXCISION OF IRIS LESION,4
'1243',NONEXC DESTR CIL BOD LES,4
'1244',EXCISE CILIARY BODY LES,4
'1251',GONIOPUNCTURE,4
'1252',GONIOTOMY,4
'1253',GONIOTOMY W GONIOPUNCTUR,4
'1254',TRABECULOTOMY AB EXTERNO,4
'1255',CYCLODIALYSIS,4
'1259',FACILIT INTRAOC CIRC NEC,4
'1261',TREPHIN SCLERA W IRIDECT,4
'1262',THERMCAUT SCLER W IRIDEC,4
'1263',IRIDENCLEISIS/IRIDOTASIS,4
'1264',TRABECULECTOM AB EXTERNO,4
'1265',SCLER FISTULIZ W IRIDECT,4
'1266',POSTOP REVIS SCL FISTUL,4
'1267',INSERT AQUEOUS DRAIN DEV (Begin 2011),4
'1269',SCLER FISTULIZING OP NEC,4
'1271',CYCLODIATHERMY,4
'1272',CYCLOCRYOTHERAPY,4
'1273',CYCLOPHOTOCOAGULATION,4
'1274',CIL BODY DIMINUTION NOS,4
'1279',GLAUCOMA PROCEDURE NEC,4
'1281',SUTURE SCLERAL LACER,4
'1282',SCLERAL FISTULA REPAIR,4
'1283',REVIS ANT SEG OP WND NEC,4
'1284',DESTRUCT SCLERAL LESION,4
'1285',REPAIR STAPHYLOM W GRAFT,4
'1286',REP SCLER STAPHYLOMA NEC,4
'1287',GRAFT REINFORCE SCLERA,4
'1288',SCLERA REINFORCEMENT NEC,4
'1289',SCLERAL OPERATION NEC,4
'1291',THERAPEUT EVAC ANT CHAMB,4
'1292',ANTERIOR CHAMBER INJECT,4
'1293',REMOV EPITHEL DOWNGROWTH,4
'1297',IRIS OPERATION NEC,4
'1298',CILIARY BODY OP NEC,4
'1299',ANTERIOR CHAMBER OP NEC,4
'1300',REMOVE FB LENS NOS,4
'1301',MAGNET REMOVE FB LENS,4
'1302',NONMAGNET REMOVE FB LENS,4
'1311',TEMPINF INTRCAP LENS EX,4
'1319',INTRACAPSUL LENS EXT NEC,4
'132 ',LINEAR EXTRACAP LENS EXT,4
'133 ',SIMPL ASPIR LENS EXTRACT,4
'1341',CATARAC PHACOEMULS/ASPIR,4
'1342',POST CATARAC FRAG/ASPIR,4
'1343',CATARACT FRAG/ASPIR NEC,4
'1351',TEMPINF XTRACAP LENS EX,4
'1359',EXTRACAP LENS EXTRAC NEC,4
'1361',DISC PRIME MEM CATARACT (Begin 1980 End 1991),4
'1362',EXC PRIME MEM CATARACT (Begin 1980 End 1991),4
'1363',MECH FRAG MEM CATARACT (Begin 1980 End 1991),4
'1364',AFTERCATAR DISCISSION,4
'1365',AFTERCATARACT EXCISION,4
'1366',AFTER CATAR FRAGMNTATION,4
'1369',CATARACT EXTRACTION NEC,4
'1370',INSERT PSEUDOPHAKOS NOS,4
'1371',INSERT LENS AT CATAR EXT,4
'1372',SECONDARY INSERT LENS,4
'138 ',IMPLANTED LENS REMOVAL,4
'139 ',OTHER OPERATIONS ON LENS,4
'1390',OPERATION ON LENS NEC    (Begin 2006),4
'1391',IMPL INTRAOC TELESC PROS (Begin 2006),4
'1400',REMOV POST SEGMNT FB NOS,4
'1401',MAGNET REMOV POST SEG FB,4
'1402',NONMAG REMOV POST SEG FB,4
'1411',DIAGNOST VITREOUS ASPIR,3
'1419',DX PROC POST SEG NEC,3
'1421',CHORIORET LES DIATHERMY,4
'1422',CHORIORETIN LES CRYOTHER,4
'1423',CHORIORET LES XENON COAG,2
'1424',CHORIORET LES LASER COAG,2
'1425',CHORIORET LES P/COAG NOS,2
'1426',CHORIORET LES RADIOTHER,4
'1427',CHORIORET LES RAD IMPLAN,4
'1429',CHORIORET LES DESTR NEC,4
'1431',RETINAL TEAR DIATHERMY,4
'1432',RETINAL TEAR CRYOTHERAPY,4
'1433',RETINAL TEAR XENON COAG,2
'1434',RETINAL TEAR LASER COAG,2
'1435',RETINA TEAR PHOTOCOA NOS,2
'1439',RETINAL TEAR REPAIR NEC,4
'1441',SCLERAL BUCKLE W IMPLANT,4
'1449',SCLERAL BUCKLING NEC,4
'1451',DETACH RETINADIATHERMY,4
'1452',DETACH RETINACRYOTHERAP,4
'1453',DETACH RETINA XENON COAG,4
'1454',DETACH RETINA LASER COAG,4
'1455',DETACH RET PHOTOCOAG NOS,4
'1459',REPAIR RETINA DETACH NEC,4
'146 ',REMOV PROS MAT POST SEG,4
'1471',ANTERIOR REMOV VITREOUS,4
'1472',VITREOUS REMOVAL NEC,4
'1473',ANTERIOR MECHAN VITRECT,4
'1474',MECH VITRECTOMY NEC,4
'1475',VITREOUS SUBSTITUT INJEC,4
'1479',VITREOUS OPERATION NEC,4
'1481',IMPLANTATION OF EPIRETINAL VISUAL PROSTHESIS                ,4
'1482',REMOVAL OF EPIRETINAL VISUAL PROSTHESIS                     ,4
'1483',REVISION OR REPLACEMENT OF EPIRETINAL VISUAL PROSTHESIS     ,4
'149 ',OTHER POST SEGMENT OPS,4
'1501',EXTRAOC MUSCTEND BIOPSY,3
'1509',EXTRAOC MUSC DX PROC NEC,3
'1511',ONE EXTRAOC MUS RECESS,4
'1512',1 EXTRAOC MUSCL ADVANCE,4
'1513',1 EXTRAOC MUSCL RESECT,4
'1519',XTRAOC MUS OP/DETACH NEC,4
'1521',LENGTHEN 1 EXTRAOC MUSC,4
'1522',SHORTEN 1 EXTRAOC MUSC,4
'1529',OP ON 1 EXTRAOC MUSC NEC,4
'153 ',TEMP DETACH >1 XTROC MUS,4
'154 ',OTH OP ON >L EXTRAOC MUS,4
'155 ',EXTRAOCUL MUS TRANSPOSIT,4
'156 ',REVIS EXTRAOC MUSC SURG,4
'157 ',EXTRAOC MUSC INJ REPAIR,4
'159 ',OTH EXTRAOC MUSTEND OP,4
'1601',ORBITOTOMY W BONE FLAP,4
'1602',ORBITOTOMY W IMPLANT,4
'1609',ORBITOTOMY NEC,4
'161 ',REMOVE PENETRAT FB EYE,4
'1621',OPHTHALMOSCOPY,1
'1622',DIAGNOSTIC ASP OF ORBIT,3
'1623',EYEBALL & ORBIT BIOPSY,3
'1629',EYEBAL/ORBIT DX PROC NEC,3
'1631',EYE EVISC W SYNCH IMPLAN,4
'1639',EYEBALL EVISCERATION NEC,4
'1641',EYE ENUC/IMPLAN/MUSC ATT,4
'1642',EYE ENUC W IMPLANT NEC,4
'1649',EYEBALL ENUCLEATION NEC,4
'1651',RADICAL ORBITOMAXILLECT,4
