ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,form,route,strength,strength_uom,package_size,manufacturer,startdate,enddate,status
00002036346,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,500,eli lilly & co.,3/6/74,3/6/74,inactive
00002036351,darvocet-n 100,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,1000,eli lilly & co.,NA,NA,inactive
00002080202,darvon,propoxyphene hydrochloride,propoxyphene,NA,NA,NA,32 mg,NA,100,NA,NA,NA,NA
00002080203,darvon,propoxyphene hydrochloride,propoxyphene,NA,NA,NA,32 mg,NA,500,NA,NA,NA,NA
00002080233,darvon,propoxyphene hydrochloride,propoxyphene,NA,NA,NA,32 mg,NA,100,NA,NA,NA,NA
00002080302,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,100,aaipharma,9/30/90,9/30/90,inactive
00002080303,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,aaipharma,9/30/90,9/30/90,inactive
00002080329,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,750,eli lilly & co.,NA,NA,inactive
00002080333,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,100,aaipharma,9/30/90,9/30/90,inactive
00002080343,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,eli lilly & co.,NA,NA,inactive
00002080346,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,eli lilly & co.,NA,NA,inactive
00002080351,darvon,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,1000,eli lilly & co.,NA,NA,inactive
00002080402,darvon w/a.s.a.,aspirin; propoxyphene hydrochloride,propoxyphene,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
00002080403,darvon w/a.s.a.,aspirin; propoxyphene hydrochloride,propoxyphene,NA,NA,NA,NA,NA,500,NA,NA,NA,NA
00002080502,darvon compound,propoxyphene; aspirin; caffeine,propoxyphene,NA,NA,NA,NA,NA,100,NA,NA,NA,inactive
00002080602,darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,NA,100,NA,NA,NA,inactive
00002080603,darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,NA,500,NA,NA,NA,inactive
00002080629,darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,NA,750,NA,NA,NA,inactive
00002100902,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,15,mg,100,eli lilly & co.,NA,NA,active
00002100904,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,15,mg,1000,eli lilly & co.,NA,NA,active
00002101002,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,30,mg,100,eli lilly & co.,1/1/25,1/1/25,active
00002101004,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,30,mg,1000,eli lilly & co.,NA,NA,active
00002101033,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,30,mg,100,eli lilly & co.,NA,NA,active
00002101102,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,60,mg,100,eli lilly & co.,1/1/97,1/1/97,active
00002101104,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,60,mg,1000,eli lilly & co.,NA,NA,active
00002106402,dolophine,methadone,methadone,NA,tablet,oral,5,mg,100,eli lilly & co.,NA,NA,active
00002106404,dolophine,methadone,methadone,NA,tablet,oral,5,mg,1000,eli lilly & co.,NA,NA,active
00002107202,dolophine,methadone,methadone,NA,tablet,oral,10,mg,100,eli lilly & co.,5/1/48,5/1/48,active
00002163601,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,30 mg/ml,NA,0,NA,NA,NA,NA
00002163701,morphine,morphine,morphine,NA,solution,injection,15,mg/ml,20,eli lilly & co.,2/5/40,2/5/40,active
00002168201,dolophine,methadone,methadone,NA,solution,injection,10,mg/ml,20,eli lilly & co.,9/1/47,9/1/47,inactive
00002168225,dolophine,methadone,methadone,NA,solution,injection,10,mg/ml,20,eli lilly & co.,NA,NA,inactive
00002168702,dolophine hcl,methadone hydrochloride,methadone,NA,NA,NA,10 mg/1 ml,NA,100,NA,NA,NA,NA
00002168712,dolophine hcl,methadone hydrochloride,methadone,NA,NA,NA,10 mg/1 ml,NA,12,NA,NA,NA,NA
00002215302,methadone,methadone,methadone,NA,"tablet,soluble",oral,40,mg,100,eli lilly & co.,4/27/73,4/27/73,active
00002237105,darvon-n,propoxyphene napsylate,propoxyphene,NA,NA,NA,50 mg/5 ml,NA,1,NA,NA,NA,NA
00002254502,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,15 mg,NA,100,NA,NA,NA,NA
00002254602,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,30 mg,NA,100,NA,NA,NA,NA
00002254603,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,30 mg,NA,500,NA,NA,NA,NA
00002254902,morphine,morphine,morphine,NA,hypodermic tablet,injection,10,mg,100,ranbaxy pharmac,9/21/92,9/21/92,inactive
00002255002,morphine,morphine,morphine,NA,hypodermic tablet,injection,15,mg,100,ranbaxy pharmac,9/21/92,9/21/92,inactive
00002255003,morphine,morphine,morphine,NA,hypodermic tablet,injection,15,mg,500,eli lilly & co.,NA,NA,inactive
00002255102,morphine,morphine,morphine,NA,hypodermic tablet,injection,30,mg,100,ranbaxy pharmac,9/21/92,9/21/92,inactive
00002255103,morphine,morphine,morphine,NA,"tablet,soluble",oral,30,mg,500,eli lilly & co.,NA,NA,inactive
00002255502,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,60 mg,NA,100,NA,NA,NA,NA
00002255503,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,60 mg,NA,500,NA,NA,NA,NA
00002255602,codeine sulfate,codeine sulfate,codeine,NA,NA,NA,15 mg,NA,100,NA,NA,NA,NA
00002255702,codeine phosphate soluble,codeine phosphate,codeine,NA,hypodermic tablet,injection,30,mg,100,ranbaxy pharmac,9/30/90,9/30/90,inactive
00002255703,codeine phosphate,codeine phosphate,codeine,NA,hypodermic tablet,injection,30,mg,500,eli lilly & co.,NA,NA,inactive
00002255802,codeine phosphate soluble,codeine phosphate,codeine,NA,hypodermic tablet,injection,60,mg,100,ranbaxy pharmac,9/21/92,9/21/92,inactive
00002255803,codeine phosphate,codeine phosphate,codeine,NA,hypodermic tablet,injection,60,mg,500,eli lilly & co.,NA,NA,inactive
00002311002,darvon compound 32,dextropropoxyphene,propoxyphene,NA,capsule,oral,32-389-32.4,mg,100,eli lilly & co.,NA,NA,inactive
00002311003,darvon compound 32,dextropropoxyphene,propoxyphene,NA,capsule,oral,32-389-32.4,mg,500,eli lilly & co.,NA,NA,inactive
00002311102,darvon compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,100,aaipharma,9/30/90,9/30/90,inactive
00002311103,darvon compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,500,aaipharma,9/30/90,9/30/90,inactive
00002311133,darvon compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,100,eli lilly & co.,NA,NA,inactive
00002311146,darvon compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,500,eli lilly & co.,NA,NA,inactive
00002311202,a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,NA,NA,325 mg-15 mg,NA,100,NA,NA,NA,NA
00002311203,a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,NA,NA,325 mg-15 mg,NA,500,NA,NA,NA,NA
00002311302,a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,NA,NA,325 mg-30 mg,NA,100,NA,NA,NA,NA
00002406702,a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,NA,NA,325 mg-30 mg,NA,100,NA,NA,NA,NA
00002406703,a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,NA,NA,325 mg-30 mg,NA,500,NA,NA,NA,NA
00003061550,propoxyphene,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,100,e.r.squibb&sons,NA,NA,inactive
00003061560,propoxyphene,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,e.r.squibb&sons,NA,NA,inactive
00003072550,propoxyphene n-acetaminophen,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,100,squibb mark,NA,NA,inactive
00003072560,propoxyphene n-acetaminophen,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,500,squibb mark,NA,NA,inactive
00004004401,levo-dromoran,levorphanol,levorphanol,NA,tablet,oral,2,mg,100,icn-ethical,1/8/53,1/8/53,inactive
00004191006,levo-dromoran,levorphanol,levorphanol,NA,solution,injection,2,mg/ml,1,icn-ethical,1/8/53,1/8/53,inactive
00004191101,levo-dromoran,levorphanol,levorphanol,NA,solution,injection,2,mg/ml,10,roche labs.,NA,NA,inactive
00004191106,levo-dromoran,levorphanol,levorphanol,NA,solution,injection,2,mg/ml,10,valeant,1/8/53,1/8/53,inactive
00004191506,nisentil,alphaprodine,alphaprodine,NA,NA,NA,40 mg/ml,NA,10,NA,NA,NA,NA
00004191701,nisentil,alphaprodine,alphaprodine,NA,NA,NA,60 mg/ml,NA,10,NA,NA,NA,NA
00004191706,nisentil,alphaprodine,alphaprodine,NA,NA,NA,60 mg/ml,NA,0,NA,NA,NA,inactive
00005306623,propoxyphene n-acetaminophen,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,100,lederle labs.,NA,NA,inactive
00005306631,propoxyphene n-acetaminophen,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,500,lederle labs.,NA,NA,inactive
00005306643,propoxyphene n-acetaminophen,dextropropoxyphene,propoxyphene,NA,tablet,oral,100-650,mg,100,lederle labs.,NA,NA,inactive
00005312323,dolene compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,100,lederle labs.,NA,NA,inactive
00005312331,dolene compound-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,500,lederle labs.,NA,NA,inactive
00005313123,acetaminophen-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-60,mg,100,lederle labs.,NA,NA,active
00005313131,acetaminophen-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-60,mg,500,lederle labs.,NA,NA,active
00005332934,acetaminophen-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-30,mg,1000,lederle labs.,NA,NA,active
00005347223,dolene compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,NA,100,NA,NA,NA,inactive
00005454723,dolene,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,100,lederle labs.,NA,NA,inactive
00005454731,dolene,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,lederle labs.,NA,NA,inactive
00005464323,dolene ap-65,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,lederle labs.,NA,NA,inactive
00005464331,dolene ap-65,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,500,lederle labs.,NA,NA,inactive
00005464363,dolene ap-65,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,lederle labs.,NA,NA,inactive
00007031920,oxycodone hcl-oxycodone-asa,oxycodone; acetylsalicyclic acid,oxycodone,NA,tablet,oral,4.5-0.38-325,mg,100,sk beecham phar,NA,NA,inactive
00007032020,oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,tablet,oral,5-325,mg,100,sk beecham phar,NA,NA,active
00007032025,oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,tablet,oral,5-325,mg,500,sk beecham phar,NA,NA,active
00007046320,sk-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,100,sk beecham phar,9/30/90,9/30/90,inactive
00007046325,sk-65,dextropropoxyphene,propoxyphene,NA,capsule,oral,65,mg,500,sk beecham phar,9/30/90,9/30/90,inactive
00007046820,sk-65 compound,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,100,sk beecham phar,NA,NA,inactive
00007046825,sk-65 compound,dextropropoxyphene,propoxyphene,NA,capsule,oral,65-389-32.4,mg,500,sk beecham phar,NA,NA,inactive
00007047420,sk-65 apap,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,sk beecham phar,NA,NA,inactive
00007047425,sk-65 apap,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,500,sk beecham phar,NA,NA,inactive
00007049420,sk-apap-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-15,mg,100,sk beecham phar,NA,NA,inactive
00007049620,sk-apap-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-30,mg,100,sk beecham phar,NA,NA,inactive
00007049630,sk-apap-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-30,mg,1000,sk beecham phar,NA,NA,inactive
00007049720,sk-apap-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-60,mg,100,sk beecham phar,NA,NA,inactive
00007049725,sk-apap-codeine,codeine; paracetamol,codeine,NA,tablet,oral,300-60,mg,500,sk beecham phar,NA,NA,inactive
00008008501,wygesic,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,women first hc,9/30/90,9/30/90,inactive
00008008502,wygesic,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,500,women first hc,9/30/90,9/30/90,inactive
00008008503,wygesic,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,wyeth pharm,NA,NA,inactive
00008008504,wygesic,dextropropoxyphene,propoxyphene,NA,tablet,oral,65-650,mg,100,wyeth pharm,9/30/90,9/30/90,inactive
00008020501,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,wyeth pharm,NA,NA,active
00008020502,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,wyeth pharm,NA,NA,active
00008020503,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,wyeth pharm,NA,NA,active
00008020601,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,wyeth pharm,NA,NA,active
00008020602,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,wyeth pharm,NA,NA,active
00008020603,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,wyeth pharm,NA,NA,active
00008020701,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,wyeth pharm,NA,NA,inactive
00008020702,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,wyeth pharm,NA,NA,inactive
00008020703,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,wyeth pharm,NA,NA,inactive
00008023401,mepergan,meperidine,meperidine,NA,solution,injection,25-25,mg/ml,10,esi lederle,9/30/90,9/30/90,inactive
00008023501,mepergan,meperidine,meperidine,NA,syringe,injection,25-25,mg/ml,2,esi lederle,9/30/90,9/30/90,inactive
00008023550,mepergan,meperidine,meperidine,NA,syringe,injection,25-25,mg/ml,2,esi lederle,9/30/90,9/30/90,inactive
00008025801,meperidine (pf),meperidine,meperidine,NA,solution,injection,50,mg/ml,30,esi lederle,9/30/90,9/30/90,active
00008025901,meperidine,meperidine,meperidine,NA,solution,injection,100,mg/ml,20,esi lederle,9/30/90,9/30/90,active
00008026102,mepergan fortis,meperidine,meperidine,NA,capsule,oral,50-25,mg,100,wyeth pharm,9/30/90,9/30/90,inactive
00008029501,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,2,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008029502,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,2,mg/ml,1,wyeth pharm,NA,NA,active
00008029550,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,2,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008029601,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,4,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008029602,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,4,mg/ml,1,wyeth pharm,NA,NA,active
00008029650,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,4,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008030801,meperidine,meperidine,meperidine,NA,tablet,oral,50,mg,25,wyeth pharm,NA,NA,active
00008030802,meperidine,meperidine,meperidine,NA,tablet,oral,50,mg,250,esi lederle,9/30/90,9/30/90,active
00008030803,meperidine,meperidine,meperidine,NA,tablet,oral,50,mg,250,esi lederle,9/30/90,9/30/90,active
00008032501,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,15,mg,25,wyeth pharm,NA,NA,active
00008032601,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,30,mg,25,wyeth pharm,1/1/91,1/1/91,active
00008032606,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,30,mg,250,wyeth pharm,NA,NA,active
00008032701,codeine sulfate,codeine sulfate,codeine,NA,tablet,oral,60,mg,25,wyeth pharm,NA,NA,active
00008038701,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,1,mg/ml,1,wyeth pharm,NA,NA,active
00008038703,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,1,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008038750,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,1,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008038801,hydromorphone,hydromorphone,hydromorphone,NA,syringe,injection,3,mg/ml,1,wyeth pharm,NA,NA,inactive
00008053201,morphine,morphine,morphine,NA,syringe,injection,2,mg/ml,1,wyeth pharm,NA,NA,active
00008053301,morphine,morphine,morphine,NA,syringe,injection,4,mg/ml,1,wyeth pharm,NA,NA,active
00008060102,meperidine,meperidine,meperidine,NA,syringe,injection,25,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060103,meperidine,meperidine,meperidine,NA,syringe,injection,25,mg/ml,1,wyeth pharm,NA,NA,inactive
00008060150,meperidine,meperidine,meperidine,NA,syringe,injection,25,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060151,meperidine,meperidine,meperidine,NA,syringe,injection,25,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060202,meperidine,meperidine,meperidine,NA,syringe,injection,50,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060203,meperidine,meperidine,meperidine,NA,syringe,injection,50,mg/ml,1,wyeth pharm,NA,NA,inactive
00008060250,meperidine,meperidine,meperidine,NA,syringe,injection,50,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060251,meperidine,meperidine,meperidine,NA,syringe,injection,50,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060502,meperidine,meperidine,meperidine,NA,syringe,injection,75,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060503,meperidine,meperidine,meperidine,NA,syringe,injection,75,mg/ml,1,wyeth pharm,NA,NA,inactive
00008060550,meperidine,meperidine,meperidine,NA,syringe,injection,75,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060551,meperidine,meperidine,meperidine,NA,syringe,injection,75,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008060801,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,30,mg/ml,1,wyeth pharm,1/1/91,1/1/91,inactive
00008060901,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,60,mg/ml,1,wyeth pharm,1/1/91,1/1/91,inactive
00008061302,meperidine,meperidine,meperidine,NA,syringe,injection,100,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008061303,meperidine,meperidine,meperidine,NA,syringe,injection,100,mg/ml,1,wyeth pharm,NA,NA,inactive
00008061350,meperidine,meperidine,meperidine,NA,syringe,injection,100,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008064901,morphine,morphine,morphine,NA,syringe,injection,2,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008064950,morphine,morphine,morphine,NA,syringe,injection,2,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008064951,morphine,morphine,morphine,NA,syringe,injection,2,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065301,morphine,morphine,morphine,NA,syringe,injection,4,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065350,morphine,morphine,morphine,NA,syringe,injection,4,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065351,morphine,morphine,morphine,NA,syringe,injection,4,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065501,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,wyeth pharm,9/30/90,9/30/90,active
00008065502,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,wyeth pharm,9/30/90,9/30/90,active
00008065503,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065550,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065551,morphine,morphine,morphine,NA,syringe,injection,8,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065601,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065602,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,wyeth pharm,9/30/90,9/30/90,active
00008065603,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,wyeth pharm,NA,NA,active
00008065650,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065651,morphine,morphine,morphine,NA,syringe,injection,10,mg/ml,1,esi lederle,9/30/90,9/30/90,active
00008065701,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008065702,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,wyeth pharm,NA,NA,inactive
00008065703,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,wyeth pharm,NA,NA,inactive
00008065750,morphine,morphine,morphine,NA,syringe,injection,15,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008072801,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,30,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008072850,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,30,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008072901,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,60,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008072950,codeine phosphate,codeine phosphate,codeine,NA,syringe,injection,60,mg/ml,1,esi lederle,9/30/90,9/30/90,inactive
00008419101,synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,capsule,oral,356.4-30-16,mg,100,women first hc,NA,NA,active
00008419102,synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,capsule,oral,NA,NA,500,women first hc,NA,NA,inactive
00008419103,synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,capsule,oral,NA,NA,100,wyeth pharm,NA,NA,inactive
00015564415,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,2,sandoz,NA,NA,inactive
00015564420,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,2,sandoz,8/27/78,8/27/78,inactive
00015564423,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,30,vha plus/brist,9/30/90,9/30/90,inactive
00015564433,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,2,geneva pharm.,9/30/90,9/30/90,inactive
00015564515,stadol,butorphanol,butorphanol,NA,solution,injection,1,mg/ml,1,sandoz,NA,NA,inactive
00015564520,stadol,butorphanol,butorphanol,NA,solution,injection,1,mg/ml,1,sandoz,9/30/90,9/30/90,inactive
00015564523,stadol,butorphanol,butorphanol,NA,solution,injection,1,mg/ml,1,vha plus/brist,NA,NA,inactive
00015564533,stadol,butorphanol,butorphanol,NA,solution,injection,1,mg/ml,1,geneva pharm.,9/30/90,9/30/90,inactive
00015564615,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,1,sandoz,NA,NA,inactive
00015564620,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,1,sandoz,9/30/90,9/30/90,inactive
00015564623,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,1,vha plus/brist,NA,NA,inactive
00015564627,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,1,vha plus/brist,NA,NA,inactive
00015564633,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,1,geneva pharm.,9/30/90,9/30/90,inactive
00015564697,stadol,butorphanol,butorphanol,NA,syringe,injection,2,mg/ml,1,bristol labs.,NA,NA,inactive
00015564820,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,10,sandoz,9/30/90,9/30/90,inactive
00015564823,stadol,butorphanol,butorphanol,NA,solution,injection,2,mg/ml,10,vha plus/brist,NA,NA,inactive
