ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00019158255',hydrocodone bitartrate (bulk),hydrocodone,hydrocodone,NA,.,NA,mallinckrodt,active,NA,NA,NA
'00023041901',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,2.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00074304113',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-300,mg,abbvie us llc,active,NA,NA,NA
'00074304153',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-300,mg,abbvie us llc,active,NA,NA,NA
'00074304313',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-300,mg,abbvie us llc,active,NA,NA,NA
'00074304353',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-300,mg,abbvie us llc,active,NA,NA,NA
'00074305413',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-300,mg,abbvie us llc,active,NA,NA,NA
'00074305453',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-300,mg,abbvie us llc,active,NA,NA,NA
'00086005704',hydrocet,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,carnrick/elan,inactive,NA,NA,NA
'00086005710',hydrocet,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,amarin pharm,inactive,NA,NA,NA
'00086005725',hydrocet,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,carnrick/elan,inactive,NA,NA,NA
'00093056701',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,teva usa,inactive,NA,NA,NA
'00093056705',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,teva usa,inactive,NA,NA,NA
'00093056710',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,teva usa,inactive,NA,NA,NA
'00093056801',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,teva usa,inactive,NA,NA,NA
'00093056805',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,teva usa,inactive,NA,NA,NA
'00093056810',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,teva usa,inactive,NA,NA,NA
'00093056901',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,teva usa,inactive,NA,NA,NA
'00093516101',hydrocodone-ibuprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,teva usa,active,NA,NA,NA
'00095013101',panasal,hydrocodone; aspirin,hydrocodone,NA,5-500,mg,ecr pharm.,inactive,NA,NA,NA
'00095014101',panacet,hydrocodone; paracetamol,hydrocodone,NA,5-500,mg,ecr pharm.,inactive,NA,NA,NA
'00095067416',zolvit,hydrocodone; acetaminophen,hydrocodone,NA,10-300,mg/15 ml,ecr pharm.,inactive,NA,NA,NA
'00095909016',lortab elixir,hydrocodone; paracetamol,hydrocodone,NA,10-300,mg/15 ml,akorn inc.,active,NA,NA,NA
'00102328001',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,regal labs.,inactive,NA,NA,NA
'00121065504',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg/15 ml,pharmaceutical,inactive,NA,NA,NA
'00121065515',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg/15 ml(15 ml),pharmaceutical,inactive,NA,NA,NA
'00121065516',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg/15 ml,pharmaceutical,inactive,NA,NA,NA
'00121077204',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-325,mg/15 ml,pharmaceutical,active,NA,NA,NA
'00121077216',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-325,mg/15 ml,pharmaceutical,active,NA,NA,NA
'00121154207',zamicet,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-163,mg/7.5ml,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121154240',zamicet,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-163,mg/7.5ml,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121154440',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/15ml,                         325  mg/15ml",NA,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121231315',zamicet,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/15ml,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121231340',zamicet,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/15ml,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121231640',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/15ml,                         325  mg/15ml",NA,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00121465505',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,2.5-167,mg/5 ml,pharmaceutical,active,NA,NA,NA
'00121465510',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-334,mg/10 ml,pharmaceutical,inactive,NA,NA,NA
'00121465515',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg/15 ml(15 ml),pharmaceutical,inactive,NA,NA,NA
'00121477107',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-163,mg/7.5ml(7.5ml),pharmaceutical,active,NA,NA,NA
'00121477115',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg/15 ml(15 ml),pharmaceutical,active,NA,NA,NA
'00121477205',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-325,mg/15 ml,pharmaceutical,active,NA,NA,NA
'00121477210',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-325,mg/15 ml,pharmaceutical,active,NA,NA,NA
'00121477215',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-325,mg/15 ml,pharmaceutical,active,NA,NA,NA
'00121477240',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/15ml,                         325  mg/15ml",NA,"pharmaceutical associates, inc.",NA,NA,NA,NA
'00131210437',co-gesic,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ucb pharma,inactive,NA,NA,NA
'00131210441',co-gesic,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,schwarz pharmac,inactive,NA,NA,NA
'00131210486',co-gesic,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,central pharm.,inactive,NA,NA,NA
'00131281037',dia-gesic,aspirin; caffeine; hydrocodone bitartrate,hydrocodone,NA,NA,NA,NA,NA,NA,NA,NA
'00131281043',dia-gesic,aspirin; caffeine; hydrocodone bitartrate,hydrocodone,NA,NA,NA,NA,NA,NA,NA,NA
'00131282137',azdone,hydrocodone; aspirin,hydrocodone,NA,5-500,mg,central pharm.,inactive,NA,NA,NA
'00131282143',azdone,hydrocodone; aspirin,hydrocodone,NA,5-500,mg,central pharm.,inactive,NA,NA,NA
'00143128552',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,"west-ward, inc.",inactive,NA,NA,NA
'00157024501',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,"towne, paulsen",inactive,NA,NA,NA
'00157024505',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,"towne, paulsen",inactive,NA,NA,NA
'00172564260',hydrocodone bitartrate-acetaminophen,acetaminophen; hydrocodone bitartrate,hydrocodone,NA,500 mg-5 mg,NA,NA,NA,NA,NA,NA
'00172564270',hydrocodone bitartrate-acetaminophen,acetaminophen; hydrocodone bitartrate,hydrocodone,NA,500 mg-5 mg,NA,NA,NA,NA,NA,NA
'00172564360',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax pharmaceut,inactive,NA,NA,NA
'00172564370',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax pharmaceut,inactive,NA,NA,NA
'00172564460',allay,acetaminophen; hydrocodone bitartrate,hydrocodone,NA,500 mg-5 mg,NA,NA,NA,NA,NA,NA
'00179011220',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011230',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011240',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011250',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011260',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011290',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011320',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011330',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011340',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011350',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011360',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011390',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-325,mg,kaiser foundati,active,NA,NA,NA
'00179011630',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00179011650',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00179011660',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00179195730',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00179195750',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00179195760',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-325,mg,kaiser foundati,active,NA,NA,NA
'00182003401',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-650,mg,ivax/goldline l,inactive,NA,NA,NA
'00182003405',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-650,mg,ivax/goldline l,inactive,NA,NA,NA
'00182015601',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00182068101',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,ivax/goldline l,inactive,NA,NA,NA
'00182068105',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,ivax/goldline l,inactive,NA,NA,NA
'00182069101',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00182069105',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00182069201',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,ivax/goldline l,inactive,NA,NA,NA
'00182069205',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,ivax/goldline l,inactive,NA,NA,NA
'00182176501',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00182176505',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00182176589',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,ivax/goldline l,inactive,NA,NA,NA
'00185047401',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,eon labs,inactive,NA,NA,NA
'00185047405',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,eon labs,inactive,NA,NA,NA
'00185047410',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,eon labs,inactive,NA,NA,NA
'00185047501',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,eon labs,inactive,NA,NA,NA
'00185047505',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,eon labs,inactive,NA,NA,NA
'00225039515',hycodaphen,hydrocodone; paracetamol,hydrocodone,NA,5-500,mg,b.f ascher & co,inactive,NA,NA,NA
'00225045015',hy-phen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,b.f ascher & co,inactive,NA,NA,NA
'00225045021',hy-phen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,b.f ascher & co,inactive,NA,NA,NA
'00245041001',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041011',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041050',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041101',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041111',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041150',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"7.5 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041201',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"10 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041211',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"10 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00245041250',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,"10 mg/1,                         325  mg/1",NA,"upsher-smith laboratories, llc",NA,NA,NA,NA
'00247007900',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007902',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007903',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007904',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007905',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007906',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007907',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007908',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007910',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007912',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007915',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007916',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007920',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007924',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007925',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007928',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007930',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007940',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007950',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007990',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247007998',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034200',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034204',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034205',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034206',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034210',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034215',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034216',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034218',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034220',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
'00247034224',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,prescript pharm,inactive,NA,NA,NA
