drug_name,ndc,strength,strength_uom,manufacturer,status
desipramine,'00304184801',25,mg,J.J.BALAN INC.,Active
desipramine,'00349872801',25,mg,PARMED PHARM.,Active
desipramine,'00349872810',25,mg,PARMED PHARM.,Active
desipramine,'00364220901',25,mg,SCHEIN,Active
desipramine,'00405430501',25,mg,ALIGEN,Active
desipramine,'00536477401',25,mg,RUGBY,Active
desipramine,'00536477405',25,mg,RUGBY,Active
desipramine,'00536486101',25,mg,RUGBY,Active
desipramine,'00536486105',25,mg,RUGBY,Active
desipramine,'00536488101',25,mg,RUGBY,Active
desipramine,'00536488105',25,mg,RUGBY,Active
desipramine,'00536494801',25,mg,RUGBY,Active
desipramine,'00536494805',25,mg,RUGBY,Active
desipramine,'00580157801',25,mg,GLENLAWN LABS.,Active
desipramine,'00591080801',25,mg,WATSON LABS,Active
desipramine,'00591080805',25,mg,WATSON LABS,Active
desipramine,'00603316621',25,mg,QUALITEST,Active
desipramine,'00603316632',25,mg,QUALITEST,Active
desipramine,'00615350913',25,mg,VANGARD,Active
desipramine,'00615350953',25,mg,VANGARD,Active
desipramine,'00615350963',25,mg,VANGARD,Active
desipramine,'00615350965',25,mg,VANGARD,Active
desipramine,'00659301724',25,mg,CIRCLE PHARM.,Active
desipramine,'00677119801',25,mg,URL PHARMA,Active
desipramine,'00686048920',25,mg,RAWAY PHARM.,Active
desipramine,'00719127110',25,mg,BIOLINE,Active
desipramine,'00719131910',25,mg,BIOLINE,Active
desipramine,'00781197201',25,mg,SANDOZ,Active
desipramine,'00781197210',25,mg,SANDOZ,Active
desipramine,'00781197213',25,mg,GENEVA PHARM.,Active
desipramine,'00814230014',25,mg,IDE,Active
desipramine,'00832104200',25,mg,PHARMA. BASICS,Active
desipramine,'00832104210',25,mg,PHARMA. BASICS,Active
desipramine,'00839737506',25,mg,H L MOORE,Active
desipramine,'00839737516',25,mg,H L MOORE,Active
desipramine,'00839755106',25,mg,H L MOORE,Active
desipramine,'00839755116',25,mg,H L MOORE,Active
desipramine,'00904156460',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904156480',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904157040',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904157060',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904157061',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904157080',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904158160',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904158161',25,mg,MAJOR PHARMACEU,Active
desipramine,'00904158180',25,mg,MAJOR PHARMACEU,Active
desipramine,'00955103110',25,mg,WINTHROP US,Active
desipramine,'11845030801',25,mg,MASON DISTRIB.,Active
desipramine,'11845031201',25,mg,MASON DISTRIB.,Active
desipramine,'16590063730',25,mg,STAT RX USA,Active
desipramine,'17236047101',25,mg,DIXON-SHANE,Active
desipramine,'17236047110',25,mg,DIXON-SHANE,Active
desipramine,'21695042800',25,mg,PHYSICIAN PARTN,Active
desipramine,'21695042828',25,mg,PHYSICIAN PARTN,Active
desipramine,'21695042830',25,mg,PHYSICIAN PARTN,Active
desipramine,'23490539301',25,mg,PALMETTO STATE,Active
desipramine,'23490539302',25,mg,PALMETTO STATE,Active
desipramine,'35356038530',25,mg,QUALITY CARE,Active
desipramine,'35470175001',25,mg,KINRAY INC,Active
desipramine,'45963034202',25,mg,ACTAVIS PHARMA,Active
desipramine,'47202282501',25,mg,TEXAS DRUG REPS,Active
desipramine,'49727035902',25,mg,VITA-RX CORP,Active
desipramine,'50111043601',25,mg,SIDMAK LABS,Active
desipramine,'50111043603',25,mg,SIDMAK LABS,Active
desipramine,'51079048920',25,mg,UDL,Active
desipramine,'51432010303',25,mg,HARBER PHARM.,Active
desipramine,'51655025130',25,mg,PHARM CORP AMER,Active
desipramine,'52152034202',25,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034204',25,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034205',25,mg,ACTAVIS TOTOWA,Active
desipramine,'52446053621',25,mg,QUALITEST,Active
desipramine,'52544080801',25,mg,WATSON PHARMA,Active
desipramine,'52544080805',25,mg,WATSON PHARMA,Active
desipramine,'52555001901',25,mg,MARTEC PHARM.,Active
desipramine,'52555028601',25,mg,MARTEC PHARM.,Active
desipramine,'52555056401',25,mg,MARTEC PHARM.,Active
desipramine,'52959045814',25,mg,PHARMA PAC,Active
desipramine,'52959045820',25,mg,PHARMA PAC,Active
desipramine,'52959045821',25,mg,PHARMA PAC,Active
desipramine,'54274008910',25,mg,BEST GENERICS,Active
desipramine,'54274008950',25,mg,BEST GENERICS,Active
desipramine,'54274014010',25,mg,BEST GENERICS,Active
desipramine,'54274014030',25,mg,BEST GENERICS,Active
desipramine,'54274022810',25,mg,BEST GENERICS,Active
desipramine,'54274022850',25,mg,BEST GENERICS,Active
desipramine,'54569018414',25,mg,A-S MEDICATION,Active
desipramine,'54569040400',25,mg,A-S MEDICATION,Active
desipramine,'54569040401',25,mg,A-S MEDICATION,Active
desipramine,'54569040402',25,mg,A-S MEDICATION,Active
desipramine,'54569040403',25,mg,A-S MEDICATION,Active
desipramine,'54738043601',25,mg,RICHMOND PHARM,Active
desipramine,'54738043603',25,mg,RICHMOND PHARM,Active
desipramine,'54868101901',25,mg,PHYSICIANS TC.,Active
desipramine,'55081169101',25,mg,CLINICAL PHARM,Active
desipramine,'55084073230',25,mg,DOCTOR'S PHARM,Active
desipramine,'55829022210',25,mg,AURO PHARM,Active
desipramine,'56126037611',25,mg,U.S. TRADING,Active
desipramine,'57480031801',25,mg,MEDIREX INC.,Active
desipramine,'57480031806',25,mg,MEDIREX INC.,Active
desipramine,'57783645001',25,mg,APOTHECON,Active
desipramine,'57801028122',25,mg,GRUPAK LABS,Active
desipramine,'58016019100',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016019115',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016019128',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016019130',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016019150',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016019160',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085300',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085302',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085303',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085314',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085315',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085320',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085328',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085330',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085350',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085360',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085373',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085389',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58016085390',25,mg,SOUTHWOOD PHARM,Active
desipramine,'58469477430',25,mg,PROF PHARM PACK,Active
desipramine,'60346073130',25,mg,QUALITY CARE PH,Active
desipramine,'60346073140',25,mg,QUALITY CARE PH,Active
desipramine,'62584066101',25,mg,AHP,Active
desipramine,'63629364501',25,mg,BRYANT RANCH PR,Active
desipramine,'63629364502',25,mg,BRYANT RANCH PR,Active
desipramine,'63874082901',25,mg,ALTURA PHARMA,Active
desipramine,'63874082910',25,mg,ALTURA PHARMA,Active
desipramine,'63874082914',25,mg,ALTURA PHARMA,Active
desipramine,'63874082915',25,mg,ALTURA PHARMA,Active
desipramine,'63874082920',25,mg,ALTURA PHARMA,Active
desipramine,'63874082928',25,mg,ALTURA PHARMA,Active
desipramine,'63874082930',25,mg,ALTURA PHARMA,Active
desipramine,'63874082942',25,mg,ALTURA PHARMA,Active
desipramine,'63874082950',25,mg,ALTURA PHARMA,Active
desipramine,'63874082960',25,mg,ALTURA PHARMA,Active
desipramine,'68084097225',25,mg,AHP,Active
desipramine,'68084097295',25,mg,AHP,Active
desipramine,'68115048230',25,mg,"DISPENSEXPRESS,",Active
desipramine,'68115048260',25,mg,"DISPENSEXPRESS,",Active
desipramine,'68115059100',25,mg,"DISPENSEXPRESS,",Active
desipramine,'69238105501',25,mg,AMNEAL PHARMACE,Active
desipramine,'00047059524',50,mg,WARNER-CHILCOTT,Active
desipramine,'00093032601',50,mg,TEVA USA,Active
desipramine,'00182133301',50,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133310',50,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133389',50,mg,IVAX/GOLDLINE L,Active
desipramine,'00182184901',50,mg,IVAX/GOLDLINE L,Active
desipramine,'00182184989',50,mg,IVAX/GOLDLINE L,Active
desipramine,'00185072101',50,mg,EON LABS,Active
desipramine,'00185072105',50,mg,EON LABS,Active
desipramine,'00185072110',50,mg,EON LABS,Active
desipramine,'00247081500',50,mg,PRESCRIPT PHARM,Active
desipramine,'00247081530',50,mg,PRESCRIPT PHARM,Active
desipramine,'00302138901',50,mg,GENETCO,Active
desipramine,'00304184900',50,mg,J.J.BALAN INC.,Active
desipramine,'00304184901',50,mg,J.J.BALAN INC.,Active
desipramine,'00304184905',50,mg,J.J.BALAN INC.,Active
desipramine,'00349872901',50,mg,PARMED PHARM.,Active
desipramine,'00349872910',50,mg,PARMED PHARM.,Active
desipramine,'00364221001',50,mg,SCHEIN,Active
desipramine,'00405430601',50,mg,ALIGEN,Active
desipramine,'00536477501',50,mg,RUGBY,Active
desipramine,'00536477505',50,mg,RUGBY,Active
desipramine,'00536486201',50,mg,RUGBY,Active
desipramine,'00536486205',50,mg,RUGBY,Active
desipramine,'00536488201',50,mg,RUGBY,Active
desipramine,'00536488205',50,mg,RUGBY,Active
desipramine,'00536494901',50,mg,RUGBY,Active
desipramine,'00536494905',50,mg,RUGBY,Active
desipramine,'00580157901',50,mg,GLENLAWN LABS.,Active
desipramine,'00591080901',50,mg,WATSON LABS,Active
desipramine,'00591080905',50,mg,WATSON LABS,Active
desipramine,'00603316721',50,mg,QUALITEST,Active
desipramine,'00603316732',50,mg,QUALITEST,Active
desipramine,'00615351013',50,mg,VANGARD,Active
desipramine,'00615351053',50,mg,VANGARD,Active
desipramine,'00615351063',50,mg,VANGARD,Active
desipramine,'00615351065',50,mg,VANGARD,Active
desipramine,'00659301824',50,mg,CIRCLE PHARM.,Active
desipramine,'00677119901',50,mg,URL PHARMA,Active
desipramine,'00686049020',50,mg,RAWAY PHARM.,Active
desipramine,'00719127210',50,mg,BIOLINE,Active
desipramine,'00719132210',50,mg,BIOLINE,Active
desipramine,'00781197301',50,mg,SANDOZ,Active
desipramine,'00781197310',50,mg,SANDOZ,Active
desipramine,'00781197313',50,mg,GENEVA PHARM.,Active
desipramine,'00814230114',50,mg,IDE,Active
desipramine,'00832104300',50,mg,PHARMA. BASICS,Active
desipramine,'00832104310',50,mg,PHARMA. BASICS,Active
desipramine,'00839737606',50,mg,H L MOORE,Active
desipramine,'00839737616',50,mg,H L MOORE,Active
desipramine,'00839755206',50,mg,H L MOORE,Active
desipramine,'00839755216',50,mg,H L MOORE,Active
desipramine,'00904156560',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904156561',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904157140',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904157160',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904157161',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904157180',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904158260',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904158261',50,mg,MAJOR PHARMACEU,Active
desipramine,'00904158280',50,mg,MAJOR PHARMACEU,Active
desipramine,'00955103210',50,mg,WINTHROP US,Active
desipramine,'11845030901',50,mg,MASON DISTRIB.,Active
desipramine,'11845031301',50,mg,MASON DISTRIB.,Active
desipramine,'16590048430',50,mg,STAT RX USA,Active
desipramine,'16590048460',50,mg,STAT RX USA,Active
desipramine,'16590048472',50,mg,STAT RX USA,Active
desipramine,'16590048490',50,mg,STAT RX USA,Active
desipramine,'17236047201',50,mg,DIXON-SHANE,Active
desipramine,'23490539401',50,mg,PALMETTO STATE,Active
desipramine,'23490539402',50,mg,PALMETTO STATE,Active
desipramine,'23490539403',50,mg,PALMETTO STATE,Active
desipramine,'35470175101',50,mg,KINRAY INC,Active
desipramine,'44514049588',50,mg,TALBERT HEALTH,Active
desipramine,'45963034302',50,mg,ACTAVIS PHARMA,Active
desipramine,'47202282601',50,mg,TEXAS DRUG REPS,Active
desipramine,'49727036002',50,mg,VITA-RX CORP,Active
desipramine,'50111043701',50,mg,SIDMAK LABS,Active
desipramine,'50111043703',50,mg,SIDMAK LABS,Active
desipramine,'51079049020',50,mg,UDL,Active
desipramine,'51432010903',50,mg,HARBER PHARM.,Active
desipramine,'51655025230',50,mg,PHARM CORP AMER,Active
desipramine,'51655088021',50,mg,PHARM CORP AMER,Active
desipramine,'51655088026',50,mg,PHARM CORP AMER,Active
desipramine,'52152034302',50,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034304',50,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034305',50,mg,ACTAVIS TOTOWA,Active
desipramine,'52446053721',50,mg,QUALITEST,Active
desipramine,'52544080901',50,mg,WATSON PHARMA,Active
desipramine,'52544080905',50,mg,WATSON PHARMA,Active
desipramine,'52555028701',50,mg,MARTEC PHARM.,Active
desipramine,'52555056501',50,mg,MARTEC PHARM.,Active
desipramine,'52555072101',50,mg,MARTEC PHARM.,Active
desipramine,'52959046400',50,mg,PHARMA PAC,Active
desipramine,'52959046412',50,mg,PHARMA PAC,Active
desipramine,'52959046414',50,mg,PHARMA PAC,Active
desipramine,'52959046420',50,mg,PHARMA PAC,Active
desipramine,'54274012410',50,mg,BEST GENERICS,Active
desipramine,'54274012450',50,mg,BEST GENERICS,Active
desipramine,'54274014110',50,mg,BEST GENERICS,Active
desipramine,'54274014130',50,mg,BEST GENERICS,Active
desipramine,'54274022910',50,mg,BEST GENERICS,Active
desipramine,'54274022950',50,mg,BEST GENERICS,Active
desipramine,'54569018514',50,mg,A-S MEDICATION,Active
desipramine,'54569170100',50,mg,A-S MEDICATION,Active
desipramine,'54569170101',50,mg,A-S MEDICATION,Active
desipramine,'54569170102',50,mg,A-S MEDICATION,Active
desipramine,'54738043701',50,mg,RICHMOND PHARM,Active
desipramine,'54738043703',50,mg,RICHMOND PHARM,Active
desipramine,'55081169002',50,mg,CLINICAL PHARM,Active
desipramine,'55829022310',50,mg,AURO PHARM,Active
desipramine,'56126037711',50,mg,U.S. TRADING,Active
desipramine,'57480031901',50,mg,MEDIREX INC.,Active
desipramine,'57480031906',50,mg,MEDIREX INC.,Active
desipramine,'57783646001',50,mg,APOTHECON,Active
desipramine,'57801028222',50,mg,GRUPAK LABS,Active
desipramine,'58469477530',50,mg,PROF PHARM PACK,Active
desipramine,'60346073230',50,mg,QUALITY CARE PH,Active
desipramine,'60346073240',50,mg,QUALITY CARE PH,Active
desipramine,'62584066301',50,mg,AHP,Active
desipramine,'69238105701',50,mg,AMNEAL PHARMACE,Active
desipramine,'00047059624',75,mg,WARNER-CHILCOTT,Active
desipramine,'00093032701',75,mg,TEVA USA,Active
desipramine,'00182133501',75,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133589',75,mg,IVAX/GOLDLINE L,Active
desipramine,'00182187301',75,mg,IVAX/GOLDLINE L,Active
desipramine,'00185072201',75,mg,EON LABS,Active
desipramine,'00185072205',75,mg,EON LABS,Active
desipramine,'00302139001',75,mg,GENETCO,Active
desipramine,'00304190401',75,mg,J.J.BALAN INC.,Active
desipramine,'00349876401',75,mg,PARMED PHARM.,Active
desipramine,'00364224301',75,mg,SCHEIN,Active
desipramine,'00405430701',75,mg,ALIGEN,Active
desipramine,'00536477601',75,mg,RUGBY,Active
desipramine,'00536486301',75,mg,RUGBY,Active
desipramine,'00536486305',75,mg,RUGBY,Active
desipramine,'00536488301',75,mg,RUGBY,Active
desipramine,'00536495701',75,mg,RUGBY,Active
desipramine,'00603316821',75,mg,QUALITEST,Active
desipramine,'00615352613',75,mg,VANGARD,Active
desipramine,'00677121001',75,mg,URL PHARMA,Active
desipramine,'00686049120',75,mg,RAWAY PHARM.,Active
desipramine,'00719128410',75,mg,BIOLINE,Active
desipramine,'00719132310',75,mg,BIOLINE,Active
desipramine,'00781197401',75,mg,SANDOZ,Active
desipramine,'00832104400',75,mg,PHARMA. BASICS,Active
desipramine,'00839741106',75,mg,H L MOORE,Active
desipramine,'00839755306',75,mg,H L MOORE,Active
desipramine,'00904156660',75,mg,MAJOR PHARMACEU,Active
desipramine,'00904157260',75,mg,MAJOR PHARMACEU,Active
desipramine,'00904157261',75,mg,MAJOR PHARMACEU,Active
desipramine,'00904158360',75,mg,MAJOR PHARMACEU,Active
desipramine,'00904158361',75,mg,MAJOR PHARMACEU,Active
desipramine,'00955103310',75,mg,WINTHROP US,Active
desipramine,'11845031001',75,mg,MASON DISTRIB.,Active
desipramine,'11845031401',75,mg,MASON DISTRIB.,Active
desipramine,'17236048101',75,mg,DIXON-SHANE,Active
desipramine,'35470175201',75,mg,KINRAY INC,Active
desipramine,'45963034402',75,mg,ACTAVIS PHARMA,Active
desipramine,'47202285901',75,mg,TEXAS DRUG REPS,Active
desipramine,'50111043801',75,mg,SIDMAK LABS,Active
desipramine,'50111043803',75,mg,SIDMAK LABS,Active
desipramine,'51079049120',75,mg,UDL,Active
desipramine,'51432011503',75,mg,HARBER PHARM.,Active
desipramine,'52152034402',75,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034404',75,mg,ACTAVIS TOTOWA,Active
desipramine,'52446053821',75,mg,QUALITEST,Active
desipramine,'52544054401',75,mg,WATSON PHARMA,Active
desipramine,'52555024401',75,mg,MARTEC PHARM.,Active
desipramine,'52555028801',75,mg,MARTEC PHARM.,Active
desipramine,'52555056601',75,mg,MARTEC PHARM.,Active
desipramine,'54274014210',75,mg,BEST GENERICS,Active
desipramine,'54274014230',75,mg,BEST GENERICS,Active
desipramine,'54274015210',75,mg,BEST GENERICS,Active
desipramine,'54274023010',75,mg,BEST GENERICS,Active
desipramine,'54569252100',75,mg,A-S MEDICATION,Active
desipramine,'55829022410',75,mg,AURO PHARM,Active
desipramine,'57480032001',75,mg,MEDIREX INC.,Active
desipramine,'57480032006',75,mg,MEDIREX INC.,Active
desipramine,'57783647001',75,mg,APOTHECON,Active
